date,boatName,portCode,ts_in,ts_out,portName,nextPort
2017-05-15,AMSTERDAM,SEA,2017-05-15 07:00:00,2017-05-15 16:00:00,SEATTLE,AT SEA
2017-05-16,AMSTERDAM,AS,2017-05-16 06:00:00,2017-05-16 22:00:00,AT SEA,JUNEAU
2017-05-17,AMSTERDAM,JNU,2017-05-17 13:00:00,2017-05-17 21:00:00,JUNEAU,HUBBARD GLACIER
2017-05-18,AMSTERDAM,HUB,2017-05-18 14:00:00,2017-05-18 18:00:00,HUBBARD GLACIER,SITKA
2017-05-19,AMSTERDAM,SIT,2017-05-19 08:00:00,2017-05-19 16:00:00,SITKA,KETCHIKAN
2017-05-20,AMSTERDAM,KTN,2017-05-20 07:00:00,2017-05-20 13:00:00,KETCHIKAN,VICTORIA
2017-05-21,AMSTERDAM,VIC,2017-05-21 18:00:00,2017-05-21 23:59:00,VICTORIA,SEATTLE
2017-05-22,AMSTERDAM,SEA,2017-05-22 07:00:00,2017-05-22 16:00:00,SEATTLE,AT SEA
2017-05-23,AMSTERDAM,AS,2017-05-23 06:00:00,2017-05-23 22:00:00,AT SEA,KETCHIKAN
2017-05-24,AMSTERDAM,KTN,2017-05-24 08:00:00,2017-05-24 17:00:00,KETCHIKAN,TRACY ARM
2017-05-25,AMSTERDAM,TA,2017-05-25 12:00:00,2017-05-25 17:00:00,TRACY ARM,JUNEAU
2017-05-26,AMSTERDAM,JNU,2017-05-26 08:00:00,2017-05-26 22:00:00,JUNEAU,ICY STRAIT POINT
2017-05-27,AMSTERDAM,ISP,2017-05-27 07:00:00,2017-05-27 14:00:00,ICY STRAIT POINT,AT SEA
2017-05-28,AMSTERDAM,AS,2017-05-28 06:00:00,2017-05-28 22:00:00,AT SEA,ANCHORAGE
2017-05-29,AMSTERDAM,ANC,2017-05-29 08:00:00,2017-05-29 23:00:00,ANCHORAGE,HOMER
2017-05-30,AMSTERDAM,HOM,2017-05-30 10:00:00,2017-05-30 18:00:00,HOMER,KODIAK
2017-05-31,AMSTERDAM,KDK,2017-05-31 07:00:00,2017-05-31 14:00:00,KODIAK,HUBBARD GLACIER
2017-06-01,AMSTERDAM,HUB,2017-06-01 14:00:00,2017-06-01 18:00:00,HUBBARD GLACIER,SITKA
2017-06-02,AMSTERDAM,SIT,2017-06-02 08:00:00,2017-06-02 16:00:00,SITKA,AT SEA
2017-06-03,AMSTERDAM,AS,2017-06-03 06:00:00,2017-06-03 22:00:00,AT SEA,VICTORIA
2017-06-04,AMSTERDAM,VIC,2017-06-04 13:00:00,2017-06-04 23:00:00,VICTORIA,SEATTLE
2017-06-05,AMSTERDAM,SEA,2017-06-05 07:00:00,2017-06-05 16:00:00,SEATTLE,AT SEA
2017-06-06,AMSTERDAM,AS,2017-06-06 06:00:00,2017-06-06 22:00:00,AT SEA,KETCHIKAN
2017-06-07,AMSTERDAM,KTN,2017-06-07 08:00:00,2017-06-07 17:00:00,KETCHIKAN,TRACY ARM
2017-06-08,AMSTERDAM,TA,2017-06-08 12:00:00,2017-06-08 17:00:00,TRACY ARM,JUNEAU
2017-06-09,AMSTERDAM,JNU,2017-06-09 08:00:00,2017-06-09 22:00:00,JUNEAU,ICY STRAIT POINT
2017-06-10,AMSTERDAM,ISP,2017-06-10 07:00:00,2017-06-10 14:00:00,ICY STRAIT POINT,AT SEA
2017-06-11,AMSTERDAM,AS,2017-06-11 06:00:00,2017-06-11 22:00:00,AT SEA,ANCHORAGE
2017-06-12,AMSTERDAM,ANC,2017-06-12 08:00:00,2017-06-12 23:00:00,ANCHORAGE,HOMER
2017-06-13,AMSTERDAM,HOM,2017-06-13 10:00:00,2017-06-13 18:00:00,HOMER,KODIAK
2017-06-14,AMSTERDAM,KDK,2017-06-14 07:00:00,2017-06-14 14:00:00,KODIAK,HUBBARD GLACIER
2017-06-15,AMSTERDAM,HUB,2017-06-15 14:00:00,2017-06-15 18:00:00,HUBBARD GLACIER,SITKA
2017-06-16,AMSTERDAM,SIT,2017-06-16 08:00:00,2017-06-16 16:00:00,SITKA,AT SEA
2017-06-17,AMSTERDAM,AS,2017-06-17 06:00:00,2017-06-17 22:00:00,AT SEA,VICTORIA
2017-06-18,AMSTERDAM,VIC,2017-06-18 13:00:00,2017-06-18 23:00:00,VICTORIA,SEATTLE
2017-06-19,AMSTERDAM,SEA,2017-06-19 07:00:00,2017-06-19 16:00:00,SEATTLE,AT SEA
2017-06-20,AMSTERDAM,AS,2017-06-20 06:00:00,2017-06-20 22:00:00,AT SEA,KETCHIKAN
2017-06-21,AMSTERDAM,KTN,2017-06-21 08:00:00,2017-06-21 17:00:00,KETCHIKAN,TRACY ARM
2017-06-22,AMSTERDAM,TA,2017-06-22 12:00:00,2017-06-22 17:00:00,TRACY ARM,JUNEAU
2017-06-23,AMSTERDAM,JNU,2017-06-23 08:00:00,2017-06-23 22:00:00,JUNEAU,ICY STRAIT POINT
2017-06-24,AMSTERDAM,ISP,2017-06-24 07:00:00,2017-06-24 14:00:00,ICY STRAIT POINT,AT SEA
2017-06-25,AMSTERDAM,AS,2017-06-25 06:00:00,2017-06-25 22:00:00,AT SEA,ANCHORAGE
2017-06-26,AMSTERDAM,ANC,2017-06-26 08:00:00,2017-06-26 23:00:00,ANCHORAGE,HOMER
2017-06-27,AMSTERDAM,HOM,2017-06-27 10:00:00,2017-06-27 18:00:00,HOMER,KODIAK
2017-06-28,AMSTERDAM,KDK,2017-06-28 07:00:00,2017-06-28 14:00:00,KODIAK,HUBBARD GLACIER
2017-06-29,AMSTERDAM,HUB,2017-06-29 14:00:00,2017-06-29 18:00:00,HUBBARD GLACIER,SITKA
2017-06-30,AMSTERDAM,SIT,2017-06-30 08:00:00,2017-06-30 16:00:00,SITKA,AT SEA
2017-07-01,AMSTERDAM,AS,2017-07-01 06:00:00,2017-07-01 22:00:00,AT SEA,VICTORIA
2017-07-02,AMSTERDAM,VIC,2017-07-02 13:00:00,2017-07-02 23:00:00,VICTORIA,SEATTLE
2017-07-03,AMSTERDAM,SEA,2017-07-03 07:00:00,2017-07-03 16:00:00,SEATTLE,AT SEA
2017-07-04,AMSTERDAM,AS,2017-07-04 06:00:00,2017-07-04 22:00:00,AT SEA,KETCHIKAN
2017-07-05,AMSTERDAM,KTN,2017-07-05 08:00:00,2017-07-05 17:00:00,KETCHIKAN,TRACY ARM
2017-07-06,AMSTERDAM,TA,2017-07-06 12:00:00,2017-07-06 17:00:00,TRACY ARM,JUNEAU
2017-07-07,AMSTERDAM,JNU,2017-07-07 08:00:00,2017-07-07 22:00:00,JUNEAU,ICY STRAIT POINT
2017-07-08,AMSTERDAM,ISP,2017-07-08 07:00:00,2017-07-08 14:00:00,ICY STRAIT POINT,AT SEA
2017-07-09,AMSTERDAM,AS,2017-07-09 06:00:00,2017-07-09 22:00:00,AT SEA,ANCHORAGE
2017-07-10,AMSTERDAM,ANC,2017-07-10 08:00:00,2017-07-10 23:00:00,ANCHORAGE,HOMER
2017-07-11,AMSTERDAM,HOM,2017-07-11 10:00:00,2017-07-11 18:00:00,HOMER,KODIAK
2017-07-12,AMSTERDAM,KDK,2017-07-12 07:00:00,2017-07-12 14:00:00,KODIAK,HUBBARD GLACIER
2017-07-13,AMSTERDAM,HUB,2017-07-13 14:00:00,2017-07-13 18:00:00,HUBBARD GLACIER,SITKA
2017-07-14,AMSTERDAM,SIT,2017-07-14 08:00:00,2017-07-14 16:00:00,SITKA,AT SEA
2017-07-15,AMSTERDAM,AS,2017-07-15 06:00:00,2017-07-15 22:00:00,AT SEA,VICTORIA
2017-07-16,AMSTERDAM,VIC,2017-07-16 13:00:00,2017-07-16 23:00:00,VICTORIA,SEATTLE
2017-07-17,AMSTERDAM,SEA,2017-07-17 07:00:00,2017-07-17 16:00:00,SEATTLE,AT SEA
2017-07-18,AMSTERDAM,AS,2017-07-18 06:00:00,2017-07-18 22:00:00,AT SEA,KETCHIKAN
2017-07-19,AMSTERDAM,KTN,2017-07-19 08:00:00,2017-07-19 17:00:00,KETCHIKAN,TRACY ARM
2017-07-20,AMSTERDAM,TA,2017-07-20 12:00:00,2017-07-20 17:00:00,TRACY ARM,JUNEAU
2017-07-21,AMSTERDAM,JNU,2017-07-21 08:00:00,2017-07-21 22:00:00,JUNEAU,ICY STRAIT POINT
2017-07-22,AMSTERDAM,ISP,2017-07-22 07:00:00,2017-07-22 14:00:00,ICY STRAIT POINT,AT SEA
2017-07-23,AMSTERDAM,AS,2017-07-23 06:00:00,2017-07-23 22:00:00,AT SEA,ANCHORAGE
2017-07-24,AMSTERDAM,ANC,2017-07-24 08:00:00,2017-07-24 23:00:00,ANCHORAGE,HOMER
2017-07-25,AMSTERDAM,HOM,2017-07-25 10:00:00,2017-07-25 18:00:00,HOMER,KODIAK
2017-07-26,AMSTERDAM,KDK,2017-07-26 07:00:00,2017-07-26 14:00:00,KODIAK,HUBBARD GLACIER
2017-07-27,AMSTERDAM,HUB,2017-07-27 14:00:00,2017-07-27 18:00:00,HUBBARD GLACIER,SITKA
2017-07-28,AMSTERDAM,SIT,2017-07-28 08:00:00,2017-07-28 16:00:00,SITKA,AT SEA
2017-07-29,AMSTERDAM,AS,2017-07-29 06:00:00,2017-07-29 22:00:00,AT SEA,VICTORIA
2017-07-30,AMSTERDAM,VIC,2017-07-30 13:00:00,2017-07-30 23:00:00,VICTORIA,SEATTLE
2017-07-31,AMSTERDAM,SEA,2017-07-31 07:00:00,2017-07-31 16:00:00,SEATTLE,AT SEA
2017-08-01,AMSTERDAM,AS,2017-08-01 06:00:00,2017-08-01 22:00:00,AT SEA,KETCHIKAN
2017-08-02,AMSTERDAM,KTN,2017-08-02 08:00:00,2017-08-02 17:00:00,KETCHIKAN,TRACY ARM
2017-08-03,AMSTERDAM,TA,2017-08-03 12:00:00,2017-08-03 17:00:00,TRACY ARM,JUNEAU
2017-08-04,AMSTERDAM,JNU,2017-08-04 08:00:00,2017-08-04 22:00:00,JUNEAU,ICY STRAIT POINT
2017-08-05,AMSTERDAM,ISP,2017-08-05 07:00:00,2017-08-05 14:00:00,ICY STRAIT POINT,AT SEA
2017-08-06,AMSTERDAM,AS,2017-08-06 06:00:00,2017-08-06 22:00:00,AT SEA,ANCHORAGE
2017-08-07,AMSTERDAM,ANC,2017-08-07 08:00:00,2017-08-07 23:00:00,ANCHORAGE,HOMER
2017-08-08,AMSTERDAM,HOM,2017-08-08 10:00:00,2017-08-08 18:00:00,HOMER,KODIAK
2017-08-09,AMSTERDAM,KDK,2017-08-09 07:00:00,2017-08-09 14:00:00,KODIAK,HUBBARD GLACIER
2017-08-10,AMSTERDAM,HUB,2017-08-10 14:00:00,2017-08-10 18:00:00,HUBBARD GLACIER,SITKA
2017-08-11,AMSTERDAM,SIT,2017-08-11 08:00:00,2017-08-11 16:00:00,SITKA,AT SEA
2017-08-12,AMSTERDAM,AS,2017-08-12 06:00:00,2017-08-12 22:00:00,AT SEA,VICTORIA
2017-08-13,AMSTERDAM,VIC,2017-08-13 13:00:00,2017-08-13 23:00:00,VICTORIA,SEATTLE
2017-08-14,AMSTERDAM,SEA,2017-08-14 07:00:00,2017-08-14 16:00:00,SEATTLE,AT SEA
2017-08-15,AMSTERDAM,AS,2017-08-15 06:00:00,2017-08-15 22:00:00,AT SEA,KETCHIKAN
2017-08-16,AMSTERDAM,KTN,2017-08-16 08:00:00,2017-08-16 17:00:00,KETCHIKAN,TRACY ARM
2017-08-17,AMSTERDAM,TA,2017-08-17 12:00:00,2017-08-17 17:00:00,TRACY ARM,JUNEAU
2017-08-18,AMSTERDAM,JNU,2017-08-18 08:00:00,2017-08-18 22:00:00,JUNEAU,ICY STRAIT POINT
2017-08-19,AMSTERDAM,ISP,2017-08-19 07:00:00,2017-08-19 14:00:00,ICY STRAIT POINT,AT SEA
2017-08-20,AMSTERDAM,AS,2017-08-20 06:00:00,2017-08-20 22:00:00,AT SEA,ANCHORAGE
2017-08-21,AMSTERDAM,ANC,2017-08-21 08:00:00,2017-08-21 23:00:00,ANCHORAGE,HOMER
2017-08-22,AMSTERDAM,HOM,2017-08-22 10:00:00,2017-08-22 18:00:00,HOMER,KODIAK
2017-08-23,AMSTERDAM,KDK,2017-08-23 07:00:00,2017-08-23 14:00:00,KODIAK,HUBBARD GLACIER
2017-08-24,AMSTERDAM,HUB,2017-08-24 14:00:00,2017-08-24 18:00:00,HUBBARD GLACIER,SITKA
2017-08-25,AMSTERDAM,SIT,2017-08-25 08:00:00,2017-08-25 16:00:00,SITKA,AT SEA
2017-08-26,AMSTERDAM,AS,2017-08-26 06:00:00,2017-08-26 22:00:00,AT SEA,VICTORIA
2017-08-27,AMSTERDAM,VIC,2017-08-27 13:00:00,2017-08-27 23:00:00,VICTORIA,SEATTLE
2017-08-28,AMSTERDAM,SEA,2017-08-28 07:00:00,2017-08-28 16:00:00,SEATTLE,AT SEA
2017-08-29,AMSTERDAM,AS,2017-08-29 06:00:00,2017-08-29 22:00:00,AT SEA,KETCHIKAN
2017-08-30,AMSTERDAM,KTN,2017-08-30 08:00:00,2017-08-30 17:00:00,KETCHIKAN,TRACY ARM
2017-08-31,AMSTERDAM,TA,2017-08-31 12:00:00,2017-08-31 17:00:00,TRACY ARM,JUNEAU
2017-09-01,AMSTERDAM,JNU,2017-09-01 08:00:00,2017-09-01 22:00:00,JUNEAU,ICY STRAIT POINT
2017-09-02,AMSTERDAM,ISP,2017-09-02 07:00:00,2017-09-02 14:00:00,ICY STRAIT POINT,AT SEA
2017-09-03,AMSTERDAM,AS,2017-09-03 06:00:00,2017-09-03 22:00:00,AT SEA,ANCHORAGE
2017-09-04,AMSTERDAM,ANC,2017-09-04 08:00:00,2017-09-04 23:00:00,ANCHORAGE,HOMER
2017-09-05,AMSTERDAM,HOM,2017-09-05 10:00:00,2017-09-05 18:00:00,HOMER,KODIAK
2017-09-06,AMSTERDAM,KDK,2017-09-06 07:00:00,2017-09-06 14:00:00,KODIAK,HUBBARD GLACIER
2017-09-07,AMSTERDAM,HUB,2017-09-07 14:00:00,2017-09-07 18:00:00,HUBBARD GLACIER,SITKA
2017-09-08,AMSTERDAM,SIT,2017-09-08 08:00:00,2017-09-08 16:00:00,SITKA,AT SEA
2017-09-09,AMSTERDAM,AS,2017-09-09 06:00:00,2017-09-09 22:00:00,AT SEA,VICTORIA
2017-09-10,AMSTERDAM,VIC,2017-09-10 13:00:00,2017-09-10 23:00:00,VICTORIA,SEATTLE
2017-09-11,AMSTERDAM,SEA,2017-09-11 07:00:00,2017-09-11 16:00:00,SEATTLE,AT SEA
2017-09-12,AMSTERDAM,AS,2017-09-12 06:00:00,2017-09-12 22:00:00,AT SEA,KETCHIKAN
2017-09-13,AMSTERDAM,KTN,2017-09-13 08:00:00,2017-09-13 17:00:00,KETCHIKAN,TRACY ARM
2017-09-14,AMSTERDAM,TA,2017-09-14 12:00:00,2017-09-14 17:00:00,TRACY ARM,JUNEAU
2017-09-15,AMSTERDAM,JNU,2017-09-15 08:00:00,2017-09-15 22:00:00,JUNEAU,ICY STRAIT POINT
2017-09-16,AMSTERDAM,ISP,2017-09-16 07:00:00,2017-09-16 14:00:00,ICY STRAIT POINT,AT SEA
2017-09-17,AMSTERDAM,AS,2017-09-17 06:00:00,2017-09-17 22:00:00,AT SEA,ANCHORAGE
2017-09-18,AMSTERDAM,ANC,2017-09-18 08:00:00,2017-09-18 23:00:00,ANCHORAGE,HOMER
2017-09-19,AMSTERDAM,HOM,2017-09-19 10:00:00,2017-09-19 18:00:00,HOMER,KODIAK
2017-09-20,AMSTERDAM,KDK,2017-09-20 07:00:00,2017-09-20 14:00:00,KODIAK,HUBBARD GLACIER
2017-09-21,AMSTERDAM,HUB,2017-09-21 14:00:00,2017-09-21 18:00:00,HUBBARD GLACIER,SITKA
2017-09-22,AMSTERDAM,SIT,2017-09-22 08:00:00,2017-09-22 16:00:00,SITKA,AT SEA
2017-09-23,AMSTERDAM,AS,2017-09-23 06:00:00,2017-09-23 22:00:00,AT SEA,VICTORIA
2017-09-24,AMSTERDAM,VIC,2017-09-24 13:00:00,2017-09-24 23:00:00,VICTORIA,SEATTLE
2017-09-25,AMSTERDAM,SEA,2017-09-25 07:00:00,2017-09-25 16:00:00,SEATTLE,VANCOUVER
