date,boatName,portCode,ts_in,ts_out,portName,nextPort
2008-05-16,AMSTERDAM,SEA,2008-05-16 07:00:00,2008-05-16 16:00:00,SEATTLE,AT SEA
2008-05-17,AMSTERDAM,AS,2008-05-17 06:00:00,2008-05-17 22:00:00,AT SEA,JUNEAU
2008-05-18,AMSTERDAM,JNU,2008-05-18 11:00:00,2008-05-18 21:30:00,JUNEAU,GLACIER BAY
2008-05-19,AMSTERDAM,GB,2008-05-19 07:00:00,2008-05-19 16:00:00,GLACIER BAY,SITKA
2008-05-20,AMSTERDAM,SIT,2008-05-20 08:00:00,2008-05-20 17:00:00,SITKA,KETCHIKAN
2008-05-21,AMSTERDAM,KTN,2008-05-21 07:00:00,2008-05-21 13:00:00,KETCHIKAN,VICTORIA
2008-05-22,AMSTERDAM,VIC,2008-05-22 18:00:00,2008-05-22 23:59:00,VICTORIA,SEATTLE
2008-05-23,AMSTERDAM,SEA,2008-05-23 07:00:00,2008-05-23 16:00:00,SEATTLE,AT SEA
2008-05-24,AMSTERDAM,AS,2008-05-24 06:00:00,2008-05-24 22:00:00,AT SEA,JUNEAU
2008-05-25,AMSTERDAM,JNU,2008-05-25 11:00:00,2008-05-25 21:30:00,JUNEAU,GLACIER BAY
2008-05-26,AMSTERDAM,GB,2008-05-26 07:00:00,2008-05-26 16:00:00,GLACIER BAY,SITKA
2008-05-27,AMSTERDAM,SIT,2008-05-27 08:00:00,2008-05-27 17:00:00,SITKA,KETCHIKAN
2008-05-28,AMSTERDAM,KTN,2008-05-28 07:00:00,2008-05-28 13:00:00,KETCHIKAN,VICTORIA
2008-05-29,AMSTERDAM,VIC,2008-05-29 18:00:00,2008-05-29 23:59:00,VICTORIA,SEATTLE
2008-05-30,AMSTERDAM,SEA,2008-05-30 07:00:00,2008-05-30 16:00:00,SEATTLE,AT SEA
2008-05-31,AMSTERDAM,AS,2008-05-31 06:00:00,2008-05-31 22:00:00,AT SEA,JUNEAU
2008-06-01,AMSTERDAM,JNU,2008-06-01 11:00:00,2008-06-01 21:30:00,JUNEAU,GLACIER BAY
2008-06-02,AMSTERDAM,GB,2008-06-02 07:00:00,2008-06-02 16:00:00,GLACIER BAY,SITKA
2008-06-03,AMSTERDAM,SIT,2008-06-03 08:00:00,2008-06-03 17:00:00,SITKA,KETCHIKAN
2008-06-04,AMSTERDAM,KTN,2008-06-04 07:00:00,2008-06-04 13:00:00,KETCHIKAN,VICTORIA
2008-06-05,AMSTERDAM,VIC,2008-06-05 18:00:00,2008-06-05 23:59:00,VICTORIA,SEATTLE
2008-06-06,AMSTERDAM,SEA,2008-06-06 07:00:00,2008-06-06 16:00:00,SEATTLE,AT SEA
2008-06-07,AMSTERDAM,AS,2008-06-07 06:00:00,2008-06-07 22:00:00,AT SEA,JUNEAU
2008-06-08,AMSTERDAM,JNU,2008-06-08 11:00:00,2008-06-08 21:30:00,JUNEAU,TRACY ARM
2008-06-09,AMSTERDAM,TA,2008-06-09 13:00:00,2008-06-09 17:00:00,TRACY ARM,SITKA
2008-06-10,AMSTERDAM,SIT,2008-06-10 08:00:00,2008-06-10 17:00:00,SITKA,KETCHIKAN
2008-06-11,AMSTERDAM,KTN,2008-06-11 07:00:00,2008-06-11 13:00:00,KETCHIKAN,VICTORIA
2008-06-12,AMSTERDAM,VIC,2008-06-12 18:00:00,2008-06-12 23:59:00,VICTORIA,SEATTLE
