,date,boatName,portName,nextPort,year,new_name
42143,9/14/23,SEABOURN VENTURE,POINT BARROW,Unknown,2023,
25436,7/22/08,SEAS MARINER,Unknown,AT SEA,2008,
25479,5/3/08,SERENADE OF THE SEA,SAN FRANCISCO,AT SEA,2008,
42158,5/14/23,SEVEN SEAS EXPLORER,DUTCH HARBOR,AT SEA,2023,
25631,5/16/08,SEVEN SEAS MARINER,SAN FRANCISCO,AT SEA,2008,
3059,5/26/10,SEVEN SEAS NAVIGATO,SAN FRANCISCO,AT SEA,2010,SEVEN SEAS NAVIGATOR
21174,7/10/14,SILVER DISCOVERER,ATTU,AT SEA,2014,
21210,8/29/14,SILVER EXPLORER,POINT BARROW,AT SEA,2014,
67283,5/23/19,SILVER MUSE,DUTCH HARBOR,AT SEA,2019,
25774,5/31/08,SILVER SHADOW,LOS ANGELES,AT SEA,2008,
42427,5/15/23,SILVER WHISPER,DUTCH HARBOR,AT SEA,2023,
57109,9/19/22,SILVER WIND,NOME,AT SEA,2022,
46343,7/23/13,SKY,Unknown,,2013,
35681,6/24/17,SOJOURN,Unknown,AT SEA,2017,
46344,5/7/13,SOLSTICE,SAN DIEGO,LOS ANGELES,2013,
25885,5/14/08,SPIRIT OF ALASKA,KETCHIKAN,PETERSBURG,2008,
25999,5/8/08,SPIRIT OF COLUMBIA,KETCHIKAN,PETERSBURG,2008,
26126,5/11/08,SPIRIT OF DISCOVERY,KETCHIKAN,PETERSBURG,2008,
26247,5/16/08,SPIRIT OF ENDEAVOUR,KETCHIKAN,PETERSBURG,2008,
26406,5/11/08,SPIRIT OF GLACIER BA,PRINCE RUPERT,KETCHIKAN,2008,
26538,5/9/08,SPIRIT OF NINETY-EIGH,KETCHIKAN,PETERSBURG,2008,
26697,5/22/08,SPIRIT OF OCEANUS,DUTCH HARBOR,AT SEA,2008,
26827,5/18/08,SPIRIT OF YORKTOWN,KETCHIKAN,PETERSBURG,2008,
57279,5/20/22,STAR BREEZE,VANCOUVER,AT SEA,2022,
62002,5/17/18,STAR LEGEND,SEWARD,KENAI FJORD,2018,
26956,5/4/08,STAR PRINCESS,SEATTLE,AT SEA,2008,
27117,5/4/08,STATENDAM,KODIAK,HOMER,2008,
27257,8/10/08,SUN PRINCESS,SAN FRANCISCO,AT SEA,2008,
27265,5/29/08,TAHITIAN PRINCESS,VANCOUVER,AT SEA,2008,
27378,5/2/08,VEENDAM,VANCOUVER,AT SEA,2008,
67966,5/16/19,VIKING ORION,DUTCH HARBOR,AT SEA,2019,
27526,5/18/08,VOLENDAM,VANCOUVER,AT SEA,2008,
27653,5/11/08,WESTERDAM,SEATTLE,AT SEA,2008,
14270,7/13/09,WORLD OF RESIDENSE,VANCOUVER,VANCOUVER,2009,
27794,5/11/08,ZAANDAM,VANCOUVER,AT SEA,2008,
14466,5/9/09,ZUIDERDAM,VANCOUVER,AT SEA,2009,
9527,7/26/09,,Unknown,,2009,
