,index,date,boatName,mmsi,imo,portAfter,portBefore,ts_in,ts_out,timeTo,distTo,first_ts_in_next_port,mean_sog,max_sog,segment_id
0,169,2012-05-02,ZAANDAM,246442000,9156527,Juneau,Glacier Bay,2012-05-02 09:53:02-08:00,2012-05-02 19:34:02-08:00,136.068,565.25,2012-05-08 11:38:07-08:00,15.190635451505017,21.1,ZAANDAM_0002
1,2,2012-05-05,CARNIVAL SPIRIT,357658000,9188647,Ketchikan,Skagway,2012-05-05 07:11:58-08:00,2012-05-05 15:52:21-08:00,15.916,301.56,2012-05-06 07:47:18-08:00,19.075784753363227,21.9,CARNIVAL_SPIRIT_0006
2,128,2012-05-06,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-05-06 07:01:48-08:00,2012-05-06 15:52:24-08:00,17.634,301.84,2012-05-07 09:30:28-08:00,17.098736462093864,20.7,VOLENDAM_0006
3,68,2012-05-10,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-05-10 06:03:00-08:00,2012-05-10 14:42:00-08:00,14.717,304.49,2012-05-11 05:25:00-08:00,20.488117489986646,25.4,NORWEGIAN_PEARL_0026
4,129,2012-05-13,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-05-13 06:56:21-08:00,2012-05-13 16:13:55-08:00,16.952,305.04,2012-05-14 09:11:02-08:00,17.864570737605803,20.3,VOLENDAM_0014
5,149,2012-05-15,WESTERDAM,244128000,9226891,Ketchikan,Juneau,2012-05-15 07:05:04-08:00,2012-05-15 17:06:09-08:00,37.198,368.88,2012-05-17 06:18:01-08:00,9.074590163934428,17.8,WESTERDAM_0004
6,188,2012-05-16,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-05-16 06:35:27-08:00,2012-05-16 15:26:24-08:00,18.229,328.76,2012-05-17 09:40:07-08:00,17.544869215291747,21.9,ZUIDERDAM_0006
7,69,2012-05-17,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-05-17 06:06:00-08:00,2012-05-17 14:10:00-08:00,15.283,302.48,2012-05-18 05:27:00-08:00,19.21760154738878,23.0,NORWEGIAN_PEARL_0042
8,106,2012-05-18,SEA PRINCESS,310465000,9150913,Ketchikan,Skagway,2012-05-18 06:02:03-08:00,2012-05-18 15:46:02-08:00,16.436,303.87,2012-05-19 08:12:11-08:00,18.249169435215947,21.5,SEA_PRINCESS_0006
9,170,2012-05-18,ZAANDAM,246442000,9156527,Glacier Bay,Skagway,2012-05-18 06:59:00-08:00,2012-05-18 16:01:00-08:00,88.701,237.92,2012-05-22 08:43:05-08:00,12.641239892183288,20.4,ZAANDAM_0018
