index,date,boatName,mmsi,imo,portAfter,portBefore,ts_in,ts_out,timeTo,distTo,first_ts_in_next_port,mean_sog,max_sog,segment_id,LOA,GT,DWT,pax,Berths,Cabins ,Crew,Breadth
24,6/20/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-06-20 06:33:33-08:00,2023-06-20 15:40:23-08:00,1.768,28.03,2023-06-20 17:26:28-08:00,14.84732143,19.3,EURODAM_0072,285.43,86273,9125,,,,,32.26
25,6/27/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-06-27 06:33:01-08:00,2023-06-27 15:31:34-08:00,1.799,28.04,2023-06-27 17:19:30-08:00,16.01983471,18.1,EURODAM_0082,285.43,86273,9125,,,,,32.26
26,7/4/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-07-04 06:33:32-08:00,2023-07-04 15:39:52-08:00,1.681,28.07,2023-07-04 17:20:43-08:00,15.89908257,19.7,EURODAM_0092,285.43,86273,9125,,,,,32.26
27,7/11/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-07-11 06:33:34-08:00,2023-07-11 15:32:28-08:00,1.74,27.75,2023-07-11 17:16:53-08:00,15.55196078,17.8,EURODAM_0102,285.43,86273,9125,,,,,32.26
28,7/18/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-07-18 06:39:47-08:00,2023-07-18 15:30:46-08:00,1.937,27.76,2023-07-18 17:27:01-08:00,13.27631579,16.4,EURODAM_0112,285.43,86273,9125,,,,,32.26
29,7/25/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-07-25 06:34:33-08:00,2023-07-25 15:17:03-08:00,1.939,28.1,2023-07-25 17:13:22-08:00,14.38389831,20.1,EURODAM_0122,285.43,86273,9125,,,,,32.26
30,8/1/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-08-01 06:41:36-08:00,2023-08-01 15:13:22-08:00,2.033,29.17,2023-08-01 17:15:19-08:00,13.87372263,18.6,EURODAM_0132,285.43,86273,9125,,,,,32.26
31,8/8/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-08-08 06:27:28-08:00,2023-08-08 15:16:36-08:00,1.912,28.1,2023-08-08 17:11:18-08:00,14.15363636,16.9,EURODAM_0142,285.43,86273,9125,,,,,32.26
32,8/15/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-08-15 06:30:55-08:00,2023-08-15 15:16:18-08:00,1.925,27.93,2023-08-15 17:11:47-08:00,13.49846154,17.3,EURODAM_0152,285.43,86273,9125,,,,,32.26
33,8/22/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-08-22 06:31:29-08:00,2023-08-22 15:16:58-08:00,1.869,28.12,2023-08-22 17:09:06-08:00,14.20793651,17.6,EURODAM_0162,285.43,86273,9125,,,,,32.26
34,8/29/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-08-29 06:32:33-08:00,2023-08-29 15:13:22-08:00,1.94,28.32,2023-08-29 17:09:46-08:00,14.11587302,18.2,EURODAM_0172,285.43,86273,9125,,,,,32.26
35,9/5/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-09-05 06:33:33-08:00,2023-09-05 15:28:31-08:00,1.681,28.34,2023-09-05 17:09:24-08:00,16.1017094,20.3,EURODAM_0182,285.43,86273,9125,,,,,32.26
36,9/12/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-09-12 06:34:14-08:00,2023-09-12 14:59:25-08:00,1.873,27.87,2023-09-12 16:51:49-08:00,13.98632479,16.7,EURODAM_0192,285.43,86273,9125,,,,,32.26
37,9/19/23,EURODAM,245206000,9378448,Icy Strait Point,Ketchikan,2023-09-19 06:51:56-08:00,2023-09-19 15:12:27-08:00,1.663,28.17,2023-09-19 16:52:15-08:00,15.95689655,19.4,EURODAM_0200,285.43,86273,9125,,,,,32.26
38,9/26/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-09-26 07:01:43-08:00,2023-09-26 14:57:09-08:00,1.814,27.96,2023-09-26 16:46:00-08:00,14.32882883,19.9,EURODAM_0210,285.43,86273,9125,,,,,32.26
39,10/3/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-10-03 07:13:18-08:00,2023-10-03 15:18:19-08:00,1.629,28.18,2023-10-03 16:56:02-08:00,15.97094017,19.7,EURODAM_0220,285.43,86273,9125,,,,,32.26
40,5/4/23,NIEUW AMSTERDAM,246648000,9378450,Ketchikan,Skagway,2023-05-04 05:59:19-08:00,2023-05-04 15:06:28-08:00,19.35,328.6,2023-05-05 10:27:29-08:00,16.21669903,22.8,NIEUW_AMSTERDAM_0006,285.22,86273,8754,2104,2104,1053,,32.24
41,5/15/23,NIEUW AMSTERDAM,246648000,9378450,Sitka,Valdez,2023-05-15 06:54:18-08:00,2023-05-15 18:15:10-08:00,12.238,122.38,2023-05-16 06:29:27-08:00,11.0157377,16.6,NIEUW_AMSTERDAM_0012,285.22,86273,8754,2104,2104,1053,,32.24
42,5/26/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-05-26 06:01:42-08:00,2023-05-26 15:00:45-08:00,26.431,462.44,2023-05-27 17:26:37-08:00,16.03822674,20.3,NIEUW_AMSTERDAM_0026,285.22,86273,8754,2104,2104,1053,,32.24
43,5/30/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-05-30 08:26:47-08:00,2023-05-30 18:31:14-08:00,10.108,116.57,2023-05-31 04:37:42-08:00,11.76882591,15.8,NIEUW_AMSTERDAM_0034,285.22,86273,8754,2104,2104,1053,,32.24
44,6/9/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-06-09 05:58:10-08:00,2023-06-09 15:08:05-08:00,26.72,462.61,2023-06-10 17:51:17-08:00,16.21022928,19.1,NIEUW_AMSTERDAM_0048,285.22,86273,8754,2104,2104,1053,,32.24
45,6/13/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-06-13 08:34:52-08:00,2023-06-13 18:31:47-08:00,10.113,117.83,2023-06-14 04:38:34-08:00,12.18521401,15.6,NIEUW_AMSTERDAM_0056,285.22,86273,8754,2104,2104,1053,,32.24
46,6/23/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-06-23 06:02:58-08:00,2023-06-23 14:58:59-08:00,26.516,462.48,2023-06-24 17:29:55-08:00,16.12486865,18.9,NIEUW_AMSTERDAM_0070,285.22,86273,8754,2104,2104,1053,,32.24
47,6/27/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-06-27 08:34:17-08:00,2023-06-27 18:19:26-08:00,10.285,117.27,2023-06-28 04:36:33-08:00,11.35953307,16.1,NIEUW_AMSTERDAM_0078,285.22,86273,8754,2104,2104,1053,,32.24
48,7/7/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-07-07 06:02:51-08:00,2023-07-07 15:11:23-08:00,26.561,463.41,2023-07-08 17:45:04-08:00,16.05819672,20.2,NIEUW_AMSTERDAM_0092,285.22,86273,8754,2104,2104,1053,,32.24
49,7/11/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-07-11 08:30:43-08:00,2023-07-11 18:33:22-08:00,10.019,117,2023-07-12 04:34:32-08:00,11.98253968,16,NIEUW_AMSTERDAM_0100,285.22,86273,8754,2104,2104,1053,,32.24
50,7/21/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-07-21 06:04:28-08:00,2023-07-21 14:58:20-08:00,26.882,462.25,2023-07-22 17:51:14-08:00,16.23733108,19.8,NIEUW_AMSTERDAM_0114,285.22,86273,8754,2104,2104,1053,,32.24
51,7/25/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-07-25 08:32:31-08:00,2023-07-25 18:25:38-08:00,10.123,116.84,2023-07-26 04:33:01-08:00,11.7025974,13.3,NIEUW_AMSTERDAM_0122,285.22,86273,8754,2104,2104,1053,,32.24
52,8/4/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-08-04 06:05:36-08:00,2023-08-04 15:27:50-08:00,26.136,462.94,2023-08-05 17:35:58-08:00,16.79165187,19.6,NIEUW_AMSTERDAM_0136,285.22,86273,8754,2104,2104,1053,,32.24
53,8/8/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-08-08 08:27:49-08:00,2023-08-08 18:18:59-08:00,10.258,117.05,2023-08-09 04:34:28-08:00,11.4645283,15.9,NIEUW_AMSTERDAM_0144,285.22,86273,8754,2104,2104,1053,,32.24
54,8/18/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-08-18 06:05:53-08:00,2023-08-18 15:04:35-08:00,26.552,462.52,2023-08-19 17:37:41-08:00,16.62512998,19.8,NIEUW_AMSTERDAM_0158,285.22,86273,8754,2104,2104,1053,,32.24
55,8/22/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-08-22 08:34:40-08:00,2023-08-22 18:29:33-08:00,10.068,118.43,2023-08-23 04:33:39-08:00,11.74319066,16.1,NIEUW_AMSTERDAM_0166,285.22,86273,8754,2104,2104,1053,,32.24
56,9/1/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-09-01 06:06:40-08:00,2023-09-01 15:11:15-08:00,26.772,463.35,2023-09-02 17:57:35-08:00,16.51626506,22.1,NIEUW_AMSTERDAM_0180,285.22,86273,8754,2104,2104,1053,,32.24
57,9/5/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-09-05 08:22:16-08:00,2023-09-05 18:31:41-08:00,10.009,117.02,2023-09-06 04:32:12-08:00,11.73837209,13.6,NIEUW_AMSTERDAM_0188,285.22,86273,8754,2104,2104,1053,,32.24
58,9/15/23,NIEUW AMSTERDAM,246648000,9378450,College Fjord,Skagway,2023-09-15 06:35:40-08:00,2023-09-15 15:14:29-08:00,26.314,462.26,2023-09-16 17:33:19-08:00,17.47948113,21.3,NIEUW_AMSTERDAM_0202,285.22,86273,8754,2104,2104,1053,,32.24
59,9/19/23,NIEUW AMSTERDAM,246648000,9378450,Skagway,Hubbard Glacier,2023-09-19 08:28:37-08:00,2023-09-19 18:27:43-08:00,10.627,117.36,2023-09-20 05:05:20-08:00,10.92222222,14.4,NIEUW_AMSTERDAM_0210,285.22,86273,8754,2104,2104,1053,,32.24
60,9/28/23,NIEUW AMSTERDAM,246648000,9378450,Ketchikan,Skagway,2023-09-28 07:26:49-08:00,2023-09-28 16:17:57-08:00,18.153,324.11,2023-09-29 10:27:08-08:00,17.00923695,22.7,NIEUW_AMSTERDAM_0222,285.22,86273,8754,2104,2104,1053,,32.24
103,5/5/23,NORWEGIAN SPIRIT,311746000,9141065,Skagway,Icy Strait Point,2023-05-05 08:00:54-08:00,2023-05-05 16:57:36-08:00,13.817,144.52,2023-05-06 06:46:37-08:00,10.37574124,11.3,NORWEGIAN_SPIRIT_0004,268.6,75904,8530,2800,1966,982,,32.3
104,9/2/23,NORWEGIAN SPIRIT,311746000,9141065,Juneau,Ketchikan,2023-09-02 09:08:00-08:00,2023-09-02 17:55:54-08:00,12.761,132.85,2023-09-03 06:41:34-08:00,10.50532787,13,NORWEGIAN_SPIRIT_0186,268.6,75904,8530,2800,1966,982,,32.3
7,5/6/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-05-06 06:10:05-08:00,2023-05-06 14:41:51-08:00,16.981,191.81,2023-05-07 07:40:43-08:00,12.48736842,18,NORWEGIAN_JEWEL_0012,294.13,93502,7500,2376,2376,1188,1100,37.88
8,5/20/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-05-20 06:02:14-08:00,2023-05-20 15:08:42-08:00,15.424,191.88,2023-05-21 06:34:07-08:00,13.56774194,19.6,NORWEGIAN_JEWEL_0036,294.13,93502,7500,2376,2376,1188,1100,37.88
9,6/3/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-06-03 06:04:51-08:00,2023-06-03 14:50:16-08:00,15.635,191.78,2023-06-04 06:28:23-08:00,13.76610169,20.2,NORWEGIAN_JEWEL_0062,294.13,93502,7500,2376,2376,1188,1100,37.88
10,6/17/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-06-17 06:04:42-08:00,2023-06-17 15:14:47-08:00,14.993,193.1,2023-06-18 06:14:21-08:00,13.83167539,20,NORWEGIAN_JEWEL_0086,294.13,93502,7500,2376,2376,1188,1100,37.88
11,7/1/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-07-01 05:59:53-08:00,2023-07-01 15:01:26-08:00,15.248,192.9,2023-07-02 06:16:18-08:00,13.60322581,19,NORWEGIAN_JEWEL_0110,294.13,93502,7500,2376,2376,1188,1100,37.88
12,7/15/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-07-15 06:01:18-08:00,2023-07-15 15:33:42-08:00,14.937,194.22,2023-07-16 06:29:55-08:00,13.26693122,16.5,NORWEGIAN_JEWEL_0134,294.13,93502,7500,2376,2376,1188,1100,37.88
13,7/29/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-07-29 05:56:22-08:00,2023-07-29 15:24:39-08:00,15.206,194.13,2023-07-30 06:37:02-08:00,12.69455587,14.9,NORWEGIAN_JEWEL_0158,294.13,93502,7500,2376,2376,1188,1100,37.88
14,8/12/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-08-12 06:07:40-08:00,2023-08-12 15:34:55-08:00,14.599,194.62,2023-08-13 06:10:50-08:00,13.1197397,15.4,NORWEGIAN_JEWEL_0182,294.13,93502,7500,2376,2376,1188,1100,37.88
15,8/26/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-08-26 06:08:36-08:00,2023-08-26 15:31:49-08:00,15.52,193.63,2023-08-27 07:03:00-08:00,12.19792285,15,NORWEGIAN_JEWEL_0206,294.13,93502,7500,2376,2376,1188,1100,37.88
16,9/9/23,NORWEGIAN JEWEL,311827000,9304045,Icy Strait Point,Skagway,2023-09-09 06:23:49-08:00,2023-09-09 13:27:08-08:00,1.583,27.23,2023-09-09 15:02:06-08:00,15.37606838,19.6,NORWEGIAN_JEWEL_0230,294.13,93502,7500,2376,2376,1188,1100,37.88
17,9/23/23,NORWEGIAN JEWEL,311827000,9304045,Hubbard Glacier,Skagway,2023-09-23 06:46:45-08:00,2023-09-23 15:55:07-08:00,16.022,192.17,2023-09-24 07:56:26-08:00,12.57176471,16.7,NORWEGIAN_JEWEL_0256,294.13,93502,7500,2376,2376,1188,1100,37.88
193,5/6/23,SAPPHIRE PRINCESS,235103357,9228186,Sitka,Skagway,2023-05-06 06:28:00-08:00,2023-05-06 15:25:58-08:00,14.444,161.85,2023-05-07 05:52:35-08:00,11.46597222,17.9,SAPPHIRE_PRINCESS_0016,290,115875,6750,2600,3100,,,37.5
194,5/14/23,SAPPHIRE PRINCESS,235103357,9228186,Ketchikan,Skagway,2023-05-14 06:05:01-08:00,2023-05-14 15:13:41-08:00,15.414,301.74,2023-05-15 06:38:30-08:00,17.58568507,22.4,SAPPHIRE_PRINCESS_0028,290,115875,6750,2600,3100,,,37.5
195,5/22/23,SAPPHIRE PRINCESS,235103357,9228186,College Fjord,Skagway,2023-05-22 06:06:23-08:00,2023-05-22 15:05:20-08:00,26.847,460.45,2023-05-23 17:56:10-08:00,16.20793854,19,SAPPHIRE_PRINCESS_0040,290,115875,6750,2600,3100,,,37.5
196,5/26/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-05-26 09:29:07-08:00,2023-05-26 19:20:47-08:00,10.851,122.89,2023-05-27 06:11:49-08:00,11.20495868,13.8,SAPPHIRE_PRINCESS_0048,290,115875,6750,2600,3100,,,37.5
197,6/5/23,SAPPHIRE PRINCESS,235103357,9228186,College Fjord,Skagway,2023-06-05 06:07:54-08:00,2023-06-05 17:17:07-08:00,23.744,457.97,2023-06-06 17:01:46-08:00,17.46917713,23.1,SAPPHIRE_PRINCESS_0064,290,115875,6750,2600,3100,,,37.5
198,6/9/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-06-09 09:31:09-08:00,2023-06-09 19:34:55-08:00,9.598,123.98,2023-06-10 05:10:48-08:00,12.80299145,14.2,SAPPHIRE_PRINCESS_0072,290,115875,6750,2600,3100,,,37.5
