,boatName,mmsi,imo,LOA,GT,DWT,Passengers,Berths,Cabins ,Crew
82,LE BOREAL,578000500,9502506,142.1,10944,1441,260,NG,132,NG
83,NIEUW AMSTERDAM,246648000,9378450,285.22,86273,8754,2104,2104,1053,NG
84,EXPLORER OF THE SEA,311316000,9161728,311,138194,10937,3840,3840,NG,NG
85,MAASDAM,244958000,8919257,219.21,55575,7406,1629,NG,NG,NG
86,EURODAM,245206000,9378448,285.43,86273,9125,NG,NG,NG,NG
87,EUROPA,215767000,9183855†,198.52,28890,2557,408,408,NG,270
88,EMERALD PRINCESS,310531000,9333151,288.61,113561,8400,NG,NG,NG,NG
89,SEABOURN SOJOURN,311027100,9417098,198.15,32477,5000,NG,450,225,NG
90,SEABOURN SOJOURN,311027100,9417098,198.15,32477,5000,NG,450,225,NG
91,(SEABOURN?) QUEST,311038900,9483126,198.19,32477,5000,NG,NG,NG,NG
92,STAR LEGEND,311085000,9008598,160.6,12969,5170,212,NG,NG,NG
93,NORWEGIAN BLISS,311000710,9751509,333.32,168028,11700,4250,4200,NG,NG
94,AMERICAN CONSTELLATION,367764750,9838333,82,4057,NG,NG,NG,NG,NG
95,CARNIVAL SPLENDOR,372808000,9333163,290.2,113562,11928,4914,3006,1638,NG
96,NG SEA LION,,,,,,,,,
97,NORWEGIAN JOY,311000599,9703796,333.46,167725,11700,4200,NG,NG,NG
98,NG VENTURE,,,,,,,,,
99,ECLIPSE,249666000,9404314,317.14,121878,9500,2850,2850,1425,NG
100,NG SEA BIRD,,,,,,,,,
101,NG QUEST,,,,,,,,,
102,OVATION OF SEAS,311000397,9697753,348,168666,12000,NG,NG,NG,NG
103,QUEEN ELIZABETH,310625000,9477438,293.83,90901,7685,NG,NG,NG,NG
104,VIKING ORION,257034130,9796250,228.41,47861,4798,NG,NG,NG,NG
105,AZAMARA QUEST,256216000,9210218,181,30277,2700,780,777,NG,NG
106,SILVER MUSE,311000637,9784350,212.78,40791,4050,596,NG,NG,NG
107,NG ORION,,,,,,,,,
108,ASUKA II,432545000,8806204,240.96,50444,8642,1110,480,NG,NG
109,ROALD AMUNDSEN,257425000,9813072,140,21765,1800,NG,NG,NG,NG
110,MAJESTIC PRINCESS,232002990,9614141,329.9,144216,11545,4250,3560,NG,1450
111,NORWEGIAN ENCORE,311000879,9751511,333.44,169116,13332,NG,NG,NG,NG
112,KONINGSDAM,244830547,9692557,299.65,99836,9480,2650,NG,NG,NG
113,DISCOVERY PRINCESS,310812000,9837468,330,145000,12500,NG,NG,NG,NG
114,QUANTUM OF THE SEA,311000267,9549463,347.08,168666,12000,4100,NG,NG,NG
115,OCEAN VICTORY,,,,,,,,,
116,STAR BREEZE,311083000,8807997,159,12969,1818,212,NG,NG,NG
117,AMUNDSEN,257425000,9813072,21765,1800,NG,NG,NG,NG,NG
118,SEABOURN ODYSSEY,309416000,9417086,198.19,32477,5000,NG,450,225,NG
119,NORWEGIAN SPIRIT,311746000,9141065,268.6,75904,8530,2800,1966,982,NG
120,NG RESOLUTION,,,,,,,,,
121,NG ENDURENCE,,,,,,,,,
