date,boatName,portCode,ts_in,ts_out,portName,nextPort
2019-06-23,AMERICAN CONSTELLA,SKG,2019-06-23 05:00:00,2019-06-23 23:30:00,SKAGWAY,AT SEA
2019-06-24,AMERICAN CONSTELLA,AS,2019-06-24 06:00:00,2019-06-24 22:00:00,AT SEA,AT SEA
2019-06-25,AMERICAN CONSTELLA,AS,2019-06-25 06:00:00,2019-06-25 22:00:00,AT SEA,AT SEA
2019-06-26,AMERICAN CONSTELLA,AS,2019-06-26 06:00:00,2019-06-26 22:00:00,AT SEA,AT SEA
2019-06-27,AMERICAN CONSTELLA,AS,2019-06-27 06:00:00,2019-06-27 22:00:00,AT SEA,AT SEA
2019-06-28,AMERICAN CONSTELLA,AS,2019-06-28 06:00:00,2019-06-28 22:00:00,AT SEA,AT SEA
2019-06-29,AMERICAN CONSTELLA,AS,2019-06-29 06:00:00,2019-06-29 22:00:00,AT SEA,AT SEA
2019-06-30,AMERICAN CONSTELLA,AS,2019-06-30 06:00:00,2019-06-30 22:00:00,AT SEA,SKAGWAY
2019-07-01,AMERICAN CONSTELLA,SKG,2019-07-01 05:00:00,2019-07-01 18:00:00,SKAGWAY,AT SEA
2019-07-02,AMERICAN CONSTELLA,AS,2019-07-02 06:00:00,2019-07-02 22:00:00,AT SEA,AT SEA
2019-07-03,AMERICAN CONSTELLA,AS,2019-07-03 06:00:00,2019-07-03 22:00:00,AT SEA,AT SEA
2019-07-04,AMERICAN CONSTELLA,AS,2019-07-04 06:00:00,2019-07-04 22:00:00,AT SEA,AT SEA
2019-07-05,AMERICAN CONSTELLA,AS,2019-07-05 06:00:00,2019-07-05 22:00:00,AT SEA,AT SEA
2019-07-06,AMERICAN CONSTELLA,AS,2019-07-06 06:00:00,2019-07-06 22:00:00,AT SEA,AT SEA
2019-07-07,AMERICAN CONSTELLA,AS,2019-07-07 06:00:00,2019-07-07 22:00:00,AT SEA,AT SEA
2019-07-08,AMERICAN CONSTELLA,AS,2019-07-08 06:00:00,2019-07-08 22:00:00,AT SEA,AT SEA
2019-07-09,AMERICAN CONSTELLA,AS,2019-07-09 06:00:00,2019-07-09 22:00:00,AT SEA,AT SEA
2019-07-10,AMERICAN CONSTELLA,AS,2019-07-10 06:00:00,2019-07-10 22:00:00,AT SEA,SKAGWAY
2019-07-11,AMERICAN CONSTELLA,SKG,2019-07-11 05:00:00,unknown,SKAGWAY,SKAGWAY
2019-07-12,AMERICAN CONSTELLA,SKG,unknown,2019-07-12 05:00:00,SKAGWAY,AT SEA
2019-07-13,AMERICAN CONSTELLA,AS,2019-07-13 06:00:00,2019-07-13 22:00:00,AT SEA,SKAGWAY
2019-07-14,AMERICAN CONSTELLA,SKG,2019-07-14 05:00:00,unknown,SKAGWAY,SKAGWAY
2019-07-15,AMERICAN CONSTELLA,SKG,unknown,2019-07-15 05:00:00,SKAGWAY,AT SEA
2019-07-16,AMERICAN CONSTELLA,AS,2019-07-16 06:00:00,2019-07-16 22:00:00,AT SEA,AT SEA
2019-07-17,AMERICAN CONSTELLA,AS,2019-07-17 06:00:00,2019-07-17 22:00:00,AT SEA,AT SEA
2019-07-18,AMERICAN CONSTELLA,AS,2019-07-18 06:00:00,2019-07-18 22:00:00,AT SEA,AT SEA
2019-07-19,AMERICAN CONSTELLA,AS,2019-07-19 06:00:00,2019-07-19 22:00:00,AT SEA,AT SEA
2019-07-20,AMERICAN CONSTELLA,AS,2019-07-20 06:00:00,2019-07-20 22:00:00,AT SEA,SKAGWAY
2019-07-21,AMERICAN CONSTELLA,SKG,2019-07-21 05:00:00,unknown,SKAGWAY,SKAGWAY
2019-07-22,AMERICAN CONSTELLA,SKG,unknown,2019-07-22 05:00:00,SKAGWAY,AT SEA
