date,boatName,portCode,ts_in,ts_out,portName,nextPort
2022-06-06,AMERICAN CONSTELLA,PTB,2022-06-06 16:30:00,unknown,PETERSBURG,PETERSBURG
2022-06-07,AMERICAN CONSTELLA,PTB,unknown,2022-06-07 13:00:00,PETERSBURG,AT SEA
2022-06-08,AMERICAN CONSTELLA,AS,2022-06-08 06:00:00,2022-06-08 22:00:00,AT SEA,AT SEA
2022-06-09,AMERICAN CONSTELLA,AS,2022-06-09 06:00:00,2022-06-09 22:00:00,AT SEA,SKAGWAY
2022-06-10,AMERICAN CONSTELLA,SKG,2022-06-10 08:00:00,unknown,SKAGWAY,SKAGWAY
2022-06-11,AMERICAN CONSTELLA,SKG,unknown,2022-06-11 05:00:00,SKAGWAY,AT SEA
2022-06-12,AMERICAN CONSTELLA,AS,2022-06-12 06:00:00,2022-06-12 22:00:00,AT SEA,AT SEA
2022-06-13,AMERICAN CONSTELLA,AS,2022-06-13 06:00:00,2022-06-13 22:00:00,AT SEA,AT SEA
2022-06-14,AMERICAN CONSTELLA,AS,2022-06-14 06:00:00,2022-06-14 22:00:00,AT SEA,AT SEA
2022-06-15,AMERICAN CONSTELLA,AS,2022-06-15 06:00:00,2022-06-15 22:00:00,AT SEA,AT SEA
2022-06-16,AMERICAN CONSTELLA,AS,2022-06-16 06:00:00,2022-06-16 22:00:00,AT SEA,AT SEA
2022-06-17,AMERICAN CONSTELLA,AS,2022-06-17 06:00:00,2022-06-17 22:00:00,AT SEA,PETERSBURG
2022-06-18,AMERICAN CONSTELLA,PTB,2022-06-18 08:00:00,unknown,PETERSBURG,PETERSBURG
2022-06-19,AMERICAN CONSTELLA,PTB,unknown,2022-06-19 02:00:00,PETERSBURG,AT SEA
2022-06-20,AMERICAN CONSTELLA,AS,2022-06-20 06:00:00,2022-06-20 22:00:00,AT SEA,AT SEA
2022-06-21,AMERICAN CONSTELLA,AS,2022-06-21 06:00:00,2022-06-21 22:00:00,AT SEA,AT SEA
2022-06-22,AMERICAN CONSTELLA,AS,2022-06-22 06:00:00,2022-06-22 22:00:00,AT SEA,AT SEA
2022-06-23,AMERICAN CONSTELLA,AS,2022-06-23 06:00:00,2022-06-23 22:00:00,AT SEA,AT SEA
2022-06-24,AMERICAN CONSTELLA,AS,2022-06-24 06:00:00,2022-06-24 22:00:00,AT SEA,AT SEA
2022-06-25,AMERICAN CONSTELLA,AS,2022-06-25 06:00:00,2022-06-25 22:00:00,AT SEA,AT SEA
2022-06-26,AMERICAN CONSTELLA,AS,2022-06-26 06:00:00,2022-06-26 22:00:00,AT SEA,AT SEA
2022-06-27,AMERICAN CONSTELLA,AS,2022-06-27 06:00:00,2022-06-27 22:00:00,AT SEA,PETERSBURG
2022-06-28,AMERICAN CONSTELLA,PTB,2022-06-28 08:00:00,unknown,PETERSBURG,PETERSBURG
2022-06-29,AMERICAN CONSTELLA,PTB,unknown,2022-06-29 02:00:00,PETERSBURG,AT SEA
2022-06-30,AMERICAN CONSTELLA,AS,2022-06-30 06:00:00,2022-06-30 22:00:00,AT SEA,AT SEA
2022-07-01,AMERICAN CONSTELLA,AS,2022-07-01 06:00:00,2022-07-01 22:00:00,AT SEA,AT SEA
2022-07-02,AMERICAN CONSTELLA,AS,2022-07-02 06:00:00,2022-07-02 22:00:00,AT SEA,AT SEA
2022-07-03,AMERICAN CONSTELLA,AS,2022-07-03 06:00:00,2022-07-03 22:00:00,AT SEA,AT SEA
2022-07-04,AMERICAN CONSTELLA,AS,2022-07-04 06:00:00,2022-07-04 22:00:00,AT SEA,AT SEA
2022-07-05,AMERICAN CONSTELLA,AS,2022-07-05 06:00:00,2022-07-05 22:00:00,AT SEA,AT SEA
2022-07-06,AMERICAN CONSTELLA,AS,2022-07-06 06:00:00,2022-07-06 22:00:00,AT SEA,AT SEA
