,date,cruiseID,boatName,portName,ts_in,ts_out,fromPort,fromDist,fromTime,toPort,toDist,toTime
0,"[datetime.date(2023, 4, 19)]",NORWEGIAN BLISS_01,NORWEGIAN BLISS,Glacier Bay,2023-04-19 05:59:08-08:00,2023-04-19 14:42:34-08:00,Skagway,115.85,10.23,Ketchikan,298.49,16.05
1,"[datetime.date(2023, 4, 26)]",NORWEGIAN BLISS_02,NORWEGIAN BLISS,Glacier Bay,2023-04-26 05:57:58-08:00,2023-04-26 15:08:20-08:00,Skagway,115.56,10.21,Ketchikan,299.19,15.7
2,"[datetime.date(2023, 5, 3)]",NORWEGIAN BLISS_03,NORWEGIAN BLISS,Glacier Bay,2023-05-03 05:59:27-08:00,2023-05-03 15:00:23-08:00,Skagway,116.83,10.44,Ketchikan,300.04,15.8
3,"[datetime.date(2023, 10, 4)]",NORWEGIAN BLISS_27,NORWEGIAN BLISS,Glacier Bay,2023-10-04 07:15:45-08:00,2023-10-04 15:33:58-08:00,Skagway,115.51,11.57,Ketchikan,300.82,14.72
4,"[datetime.date(2023, 10, 11)]",NORWEGIAN BLISS_28,NORWEGIAN BLISS,Glacier Bay,2023-10-11 07:31:01-08:00,2023-10-11 15:21:39-08:00,Skagway,115.6,11.82,Ketchikan,299.09,15.14
5,"[datetime.date(2023, 10, 18)]",NORWEGIAN BLISS_29,NORWEGIAN BLISS,Glacier Bay,2023-10-18 07:50:47-08:00,2023-10-18 15:51:31-08:00,Skagway,114.85,12.31,Ketchikan,299.81,15.33
6,"[datetime.date(2023, 10, 25)]",NORWEGIAN BLISS_30,NORWEGIAN BLISS,Glacier Bay,2023-10-25 07:57:23-08:00,2023-10-25 15:45:17-08:00,Skagway,116.17,12.18,Ketchikan,300.76,14.83
7,"[datetime.date(2023, 5, 6)]",NORWEGIAN JEWEL_02,NORWEGIAN JEWEL,Glacier Bay,2023-05-06 05:58:35-08:00,2023-05-06 14:47:01-08:00,Skagway,116.21,9.88,Seward,545.64,14.0
8,"[datetime.date(2023, 5, 20)]",NORWEGIAN JEWEL_03,NORWEGIAN JEWEL,Glacier Bay,2023-05-20 05:51:42-08:00,2023-05-20 15:16:33-08:00,Skagway,116.19,9.73,Seward,534.17,13.65
9,"[datetime.date(2023, 6, 3)]",NORWEGIAN JEWEL_04,NORWEGIAN JEWEL,Glacier Bay,2023-06-03 05:53:51-08:00,2023-06-03 14:57:33-08:00,Skagway,116.19,9.88,Seward,544.24,13.76
10,"[datetime.date(2023, 6, 17)]",NORWEGIAN JEWEL_05,NORWEGIAN JEWEL,Glacier Bay,2023-06-17 05:53:31-08:00,2023-06-17 15:21:56-08:00,Skagway,114.46,10.17,Seward,546.51,13.61
11,"[datetime.date(2023, 7, 1)]",NORWEGIAN JEWEL_06,NORWEGIAN JEWEL,Glacier Bay,2023-07-01 05:49:54-08:00,2023-07-01 15:10:07-08:00,Skagway,115.88,9.99,Seward,532.92,13.71
12,"[datetime.date(2023, 7, 15)]",NORWEGIAN JEWEL_07,NORWEGIAN JEWEL,Glacier Bay,2023-07-15 05:53:48-08:00,2023-07-15 15:42:33-08:00,Skagway,115.52,9.72,Seward,544.71,13.04
13,"[datetime.date(2023, 7, 29)]",NORWEGIAN JEWEL_08,NORWEGIAN JEWEL,Glacier Bay,2023-07-29 05:47:01-08:00,2023-07-29 15:31:59-08:00,Skagway,115.92,9.21,Seward,526.5,13.41
14,"[datetime.date(2023, 8, 12)]",NORWEGIAN JEWEL_09,NORWEGIAN JEWEL,Glacier Bay,2023-08-12 05:58:01-08:00,2023-08-12 15:42:44-08:00,Skagway,115.91,9.72,Seward,545.44,13.08
15,"[datetime.date(2023, 8, 26)]",NORWEGIAN JEWEL_10,NORWEGIAN JEWEL,Glacier Bay,2023-08-26 05:57:38-08:00,2023-08-26 15:40:10-08:00,Skagway,115.5,9.68,Seward,550.36,13.54
16,"[datetime.date(2023, 9, 9)]",NORWEGIAN JEWEL_12,NORWEGIAN JEWEL,Glacier Bay,2023-09-09 06:13:59-08:00,2023-09-09 13:34:39-08:00,Skagway,115.03,10.45,Icy Strait Point,27.13,2.0
17,"[datetime.date(2023, 9, 23)]",NORWEGIAN JEWEL_13,NORWEGIAN JEWEL,Glacier Bay,2023-09-23 06:36:35-08:00,2023-09-23 16:02:27-08:00,Skagway,114.93,11.01,Seward,548.82,12.88
18,"[datetime.date(2023, 5, 2)]",EURODAM_01,EURODAM,Glacier Bay,2023-05-02 06:25:27-08:00,2023-05-02 15:25:34-08:00,Juneau,91.59,8.42,Icy Strait Point,27.96,2.43
19,"[datetime.date(2023, 5, 9)]",EURODAM_02,EURODAM,Glacier Bay,2023-05-09 06:27:30-08:00,2023-05-09 15:54:10-08:00,Juneau,90.53,7.83,Icy Strait Point,27.55,2.04
20,"[datetime.date(2023, 5, 16)]",EURODAM_03,EURODAM,Glacier Bay,2023-05-16 06:22:41-08:00,2023-05-16 15:39:14-08:00,Juneau,91.35,7.31,Icy Strait Point,28.03,1.97
21,"[datetime.date(2023, 5, 23)]",EURODAM_04,EURODAM,Glacier Bay,2023-05-23 06:22:15-08:00,2023-05-23 15:45:08-08:00,Juneau,90.81,7.43,Icy Strait Point,27.56,2.03
22,"[datetime.date(2023, 6, 6)]",EURODAM_06,EURODAM,Glacier Bay,2023-06-06 06:29:07-08:00,2023-06-06 15:23:50-08:00,Juneau,92.53,7.54,Icy Strait Point,27.55,2.1
23,"[datetime.date(2023, 6, 13)]",EURODAM_07,EURODAM,Glacier Bay,2023-06-13 06:22:43-08:00,2023-06-13 15:56:19-08:00,Juneau,92.12,7.35,Icy Strait Point,28.3,1.9
24,"[datetime.date(2023, 6, 20)]",EURODAM_08,EURODAM,Glacier Bay,2023-06-20 06:20:26-08:00,2023-06-20 15:44:24-08:00,Juneau,91.36,7.29,Icy Strait Point,28.42,2.31
25,"[datetime.date(2023, 6, 27)]",EURODAM_09,EURODAM,Glacier Bay,2023-06-27 06:22:51-08:00,2023-06-27 15:37:28-08:00,Juneau,90.3,7.19,Icy Strait Point,28.04,2.12
26,"[datetime.date(2023, 7, 4)]",EURODAM_10,EURODAM,Glacier Bay,2023-07-04 06:22:32-08:00,2023-07-04 15:45:47-08:00,Juneau,92.02,7.59,Icy Strait Point,28.07,1.99
27,"[datetime.date(2023, 7, 11)]",EURODAM_11,EURODAM,Glacier Bay,2023-07-11 06:24:51-08:00,2023-07-11 15:38:29-08:00,Juneau,93.03,7.86,Icy Strait Point,27.74,2.02
28,"[datetime.date(2023, 7, 18)]",EURODAM_12,EURODAM,Glacier Bay,2023-07-18 06:32:08-08:00,2023-07-18 15:37:02-08:00,Juneau,92.12,8.06,Icy Strait Point,27.53,2.29
29,"[datetime.date(2023, 7, 25)]",EURODAM_13,EURODAM,Glacier Bay,2023-07-25 06:24:43-08:00,2023-07-25 15:23:31-08:00,Juneau,92.01,7.91,Icy Strait Point,28.08,2.22
30,"[datetime.date(2023, 8, 1)]",EURODAM_14,EURODAM,Glacier Bay,2023-08-01 06:29:26-08:00,2023-08-01 15:24:32-08:00,Juneau,91.31,7.87,Icy Strait Point,28.58,2.31
31,"[datetime.date(2023, 8, 8)]",EURODAM_15,EURODAM,Glacier Bay,2023-08-08 06:19:08-08:00,2023-08-08 15:21:56-08:00,Juneau,90.45,7.55,Icy Strait Point,28.41,2.35
32,"[datetime.date(2023, 8, 15)]",EURODAM_16,EURODAM,Glacier Bay,2023-08-15 06:20:08-08:00,2023-08-15 15:23:48-08:00,Juneau,91.77,7.84,Icy Strait Point,27.77,2.17
33,"[datetime.date(2023, 8, 22)]",EURODAM_17,EURODAM,Glacier Bay,2023-08-22 06:20:30-08:00,2023-08-22 15:23:38-08:00,Juneau,91.38,7.93,Icy Strait Point,27.91,2.17
34,"[datetime.date(2023, 8, 29)]",EURODAM_18,EURODAM,Glacier Bay,2023-08-29 06:19:55-08:00,2023-08-29 15:19:52-08:00,Juneau,91.66,7.98,Icy Strait Point,28.11,2.15
35,"[datetime.date(2023, 9, 5)]",EURODAM_19,EURODAM,Glacier Bay,2023-09-05 06:25:13-08:00,2023-09-05 15:33:57-08:00,Juneau,91.77,7.89,Icy Strait Point,28.31,1.97
36,"[datetime.date(2023, 9, 12)]",EURODAM_20,EURODAM,Glacier Bay,2023-09-12 06:25:57-08:00,2023-09-12 15:09:25-08:00,Juneau,90.86,8.06,Icy Strait Point,27.54,2.06
