         391699057 function calls (391585293 primitive calls) in 50.544 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3516    0.005    0.000    0.768    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:451(<genexpr>)
    17140    0.005    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/array_algos/take.py:326(_get_take_nd_function)
     4225    0.005    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/cast.py:1962(construct_1d_object_array_from_listlike)
     5771    0.005    0.000    0.035    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1731(from_array)
     3673    0.005    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:1697(_is_label_reference)
     7366    0.005    0.000    0.012    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:391(array_equivalent)
    24981    0.005    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:155(<lambda>)
     1788    0.005    0.000    0.038    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:943(__getitem__)
    13067    0.005    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:630(_sanitize_ndim)
     1773    0.005    0.000    0.123    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:177(union_indexes)
     9728    0.005    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:5561(__getattr__)
    14323    0.005    0.000    0.017    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:348(is_datetime64tz_dtype)
     1773    0.005    0.000    0.264    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/tools/datetimes.py:162(_maybe_cache)
    12187    0.005    0.000    0.167    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:6987(ensure_index)
    49940    0.005    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:4820(_values)
      210    0.005    0.000    0.047    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:2008(_form_blocks)
    36142    0.005    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:546(_get_axis_number)
    12426    0.005    0.000    0.006    0.000 {built-in method pandas._libs.tslibs.timezones.maybe_get_tz}
    21247    0.005    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:962(<genexpr>)
    13844    0.005    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:590(name)
       66    0.004    0.000    0.004    0.000 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
     7427    0.004    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:973(from_blocks)
    11310    0.004    0.000    0.031    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:919(__init__)
     5349    0.004    0.000    0.027    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pytz/__init__.py:130(timezone)
    70615    0.004    0.000    0.004    0.000 {built-in method builtins.hash}
     1773    0.004    0.000    0.176    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3630(__setitem__)
    17102    0.004    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1483(is_ea_or_datetimelike_dtype)
     5319    0.004    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:326(_simple_new)
     9187    0.004    0.000    0.018    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:315(is_datetime64_dtype)
     1773    0.004    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:1668(_validate_names)
    19112    0.004    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:687(_values)
    10960    0.004    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:1701(_get_names)
     1805    0.004    0.000    0.060    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:578(copy)
    24915    0.004    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/range.py:909(__len__)
    24563    0.004    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:834(_reset_identity)
     5786    0.004    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:2057(check_ndim)
     3576    0.004    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexers/utils.py:457(check_array_indexer)
    13262    0.004    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1700(__init__)
     4218    0.004    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_dtype.py:344(_name_get)
     1773    0.004    0.000    0.041    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:340(_concat_datetime)
     1983    0.004    0.000    0.226    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:825(create_series_with_explicit_dtype)
     1912    0.004    0.000    0.792    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:606(_get_empty_dtype)
     1773    0.004    0.000    0.004    0.000 {pandas._libs.lib.fast_unique_multiple_list}
    17562    0.004    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:226(<listcomp>)
    18204    0.004    0.000    0.025    0.000 {method 'max' of 'numpy.ndarray' objects}
     7124    0.004    0.000    0.023    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:638(copy)
     1773    0.004    0.000    0.096    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:2176(objects_to_datetime64ns)
    10777    0.004    0.000    0.004    0.000 {method 'view' of 'numpy.ndarray' objects}
     5981    0.004    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/_config/config.py:589(_get_root)
     4373    0.004    0.000    0.017    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:554(_dtype_to_subclass)
    20160    0.004    0.000    0.019    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:156(blknos)
     3769    0.004    0.000    0.004    0.000 {pandas._libs.algos.take_1d_int64_int64}
     1420    0.004    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:679(_trim_join_unit)
     2017    0.004    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:495(_array_equivalent_object)
    24953    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10472b2b8}
     7414    0.004    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/util/_decorators.py:214(_format_argument_list)
     3673    0.004    0.000    0.084    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:3722(xs)
     9187    0.004    0.000    0.004    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
    23332    0.004    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1740(<genexpr>)
     5334    0.004    0.000    0.012    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:673(__init__)
    11666    0.004    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1721(validate_all_hashable)
     2093    0.004    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1679(<listcomp>)
     1773    0.004    0.000    0.090    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:5638(reset_index)
     1773    0.004    0.000    0.072    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:5926(copy)
    14633    0.004    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:804(axes)
    16431    0.004    0.000    0.004    0.000 {pandas._libs.lib.maybe_indices_to_slice}
    35833    0.004    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:349(flags)
     1773    0.004    0.000    0.054    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:378(delete)
     9217    0.003    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexing.py:2481(check_deprecated_indexers)
    44250    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:712(tz)
    10912    0.003    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1837(dtype)
     5981    0.003    0.000    0.023    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/_config/config.py:127(_get_option)
     1773    0.003    0.000    0.039    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/base.py:635(argsort)
     6971    0.003    0.000    0.008    0.000 <__array_function__ internals>:177(copyto)
     1773    0.003    0.000    0.130    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:255(_maybe_reindex_columns_na_proxy)
    18803    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:328(attrs)
     7754    0.003    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:542(_set_axis)
     1773    0.003    0.000   48.548    0.027 /Users/Graham/cruise/ship.py:79(processGroup)
     1773    0.003    0.000    0.145    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:120(_get_combined_index)
    11962    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/_config/config.py:603(_get_deprecated_option)
     3550    0.003    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/cast.py:515(_maybe_promote)
     4137    0.003    0.000    0.012    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:2032(new_block_2d)
     1773    0.003    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/array_algos/take.py:350(wrapper)
    48551    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/typing.py:1375(cast)
     9737    0.003    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:805(is_empty_data)
    19474    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     3824    0.003    0.000   42.470    0.011 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:394(_is_valid_na_for)
     3771    0.003    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/range.py:167(_simple_new)
    14169    0.003    0.000    0.003    0.000 {method '_from_backing_data' of 'pandas._libs.arrays.NDArrayBacked' objects}
     7718    0.003    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:560(_get_axis)
     1773    0.003    0.000    0.152    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3797(_set_item_mgr)
     1773    0.003    0.000    0.024    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:4364(_update_inplace)
     7092    0.003    0.000    0.013    0.000 {built-in method builtins.sum}
     2583    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/warnings.py:458(__enter__)
     2140    0.003    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/base.py:744(__iter__)
    13544    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     3546    0.003    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:191(is_sparse)
      195    0.003    0.000    0.042    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/algorithms.py:568(factorize)
     7414    0.003    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:1238(_set_as_cached)
     1773    0.003    0.000    0.025    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/accessors.py:479(__new__)
     1773    0.003    0.000    0.142    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3790(_iset_item_mgr)
     5319    0.003    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:785(_view)
    16167    0.003    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1416(is_1d_only_ea_dtype)
     7444    0.003    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:566(_get_block_manager_axis)
     7346    0.003    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:1724(<genexpr>)
    18204    0.003    0.000    0.021    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_methods.py:38(_amax)
    41464    0.003    0.000    0.003    0.000 {built-in method builtins.next}
    35370    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:705(unit)
     1773    0.003    0.000    0.166    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3822(_set_item)
     8330    0.003    0.000    0.018    0.000 {method 'any' of 'numpy.ndarray' objects}
     7733    0.003    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:2121(extend_blocks)
    29039    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/multiarray.py:148(concatenate)
     1773    0.003    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:7149(get_unanimous_names)
     5349    0.003    0.000    0.008    0.000 {pandas._libs.tslibs.timezones.tz_standardize}
    40457    0.003    0.000    0.003    0.000 {pandas._libs.lib.is_integer}
    21276    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:880(freq)
     2110    0.003    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1673(_consolidate_check)
     9187    0.003    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:2344(is_floating)
     3866    0.003    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:2642(_na_value)
     1900    0.003    0.000    0.021    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/groupby/ops.py:1252(_chop)
     6958    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
    18387    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:172(blklocs)
     1773    0.003    0.000    0.027    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:477(_concat_same_type)
     9171    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:803(is_)
     1773    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:496(_unbox_scalar)
     1773    0.003    0.000    0.024    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/_mixins.py:199(_concat_same_type)
     2095    0.003    0.000    0.102    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/groupby/ops.py:1222(__iter__)
      984    0.003    0.000    0.003    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
     7092    0.003    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:776(__hash__)
     3673    0.003    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/util/_validators.py:427(validate_ascending)
    10912    0.003    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:575(dtype)
     2583    0.003    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/re.py:289(_compile)
     1773    0.003    0.000    0.057    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/_mixins.py:147(take)
     8850    0.003    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:570(tz)
     2840    0.003    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:315(getitem_block)
     3546    0.003    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:955(is_dtype)
     1773    0.003    0.000    0.015    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:1198(copy)
     7414    0.003    0.000    0.017    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:358(iget)
     1773    0.003    0.000    0.071    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/accessors.py:61(_get_values)
     9344    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/util/_validators.py:218(validate_bool_kwarg)
     1758    0.003    0.000    0.763    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:674(isna_all)
    13067    0.003    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:687(_maybe_repeat)
     1788    0.002    0.000    0.012    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:3786(_get_indexer)
     5319    0.002    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:96(tz_to_dtype)
    24981    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:150(classes_and_not_datetimelike)
     2583    0.002    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/warnings.py:181(_add_filter)
     7340    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:95(is_nonempty)
    39901    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
     4195    0.002    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/inference.py:262(is_dict_like)
    18858    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:1650(name)
     8857    0.002    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/common.py:552(require_length_match)
     1773    0.002    0.000    0.164    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:612(<listcomp>)
     1773    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:106(_get_distinct_objs)
     1983    0.002    0.000    0.234    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:463(_init_dict)
      195    0.002    0.000    0.015    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/groupby/grouper.py:700(get_grouper)
     1773    0.002    0.000    0.072    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/tools/datetimes.py:205(_box_as_indexlike)
     1773    0.002    0.000    0.093    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:203(_unique_indices)
     7092    0.002    0.000    0.022    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3920(_clear_item_cache)
     3578    0.002    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:331(default_index)
     5981    0.002    0.000    0.026    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/_config/config.py:255(__call__)
     1912    0.002    0.000   42.755    0.022 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:545(<listcomp>)
    27381    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    45942    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     1773    0.002    0.000    0.002    0.000 {pandas._libs.tslibs.tzconversion.tz_localize_to_utc}
    10990    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/common.py:346(apply_if_callable)
     1773    0.002    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/accessors.py:50(__init__)
    19474    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:350(shape)
    29612    0.002    0.000    0.002    0.000 {pandas._libs.algos.ensure_platform_int}
     3670    0.002    0.000    0.011    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:117(<setcomp>)
     1912    0.002    0.000    0.778    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:626(<listcomp>)
      210    0.002    0.000    0.253    0.001 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/construction.py:425(dict_to_mgr)
    18803    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/flags.py:51(allows_duplicate_labels)
     3546    0.002    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:974(view)
      210    0.002    0.000    0.024    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/construction.py:596(_homogenize)
     1773    0.002    0.000    0.154    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/accessor.py:93(f)
     3531    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:2137(ensure_block_shape)
     8330    0.002    0.000    0.015    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_methods.py:54(_any)
     1773    0.002    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:591(_validate_scalar)
     2583    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/warnings.py:477(__exit__)
     2585    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
     1773    0.002    0.000    0.027    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/accessor.py:178(__get__)
     5319    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:5554(<genexpr>)
     5656    0.002    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:389(is_timedelta64_dtype)
     1788    0.002    0.000    0.020    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:6004(_should_compare)
     1773    0.002    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:806(tz_convert)
     1773    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/range.py:379(get_loc)
     2583    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/warnings.py:437(__init__)
    14356    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/inference.py:288(<genexpr>)
     1627    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_asarray.py:22(require)
     1773    0.002    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexers/utils.py:197(validate_indices)
     3673    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/inference.py:359(is_sequence)
