name,mmsi,bs_ts,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
CORAL PRINCESS,310376000,2008-09-14T02:45:38,55.253815,-131.46139,0,143.3,17.2,144,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:43:14,55.262975,-131.47356,0,142.6,17.2,143,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:42:02,55.26742,-131.480015,0,136.6,17.2,137,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:42:32,55.26563833,-131.4772667,0,140.0,17.2,140,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:42:37,55.26527333,-131.4767333,0,140.3,17.2,141,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:41:02,55.27075,-131.485945,0,132.3,17.2,132,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:41:32,55.26906833,-131.4828083,0,134.6,17.2,135,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:40:26,55.27254167,-131.4896417,0,128.3,17.2,129,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:39:20,55.275655,-131.4971283,0,123.0,17.1,123,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:39:56,55.27403833,-131.493045,0,126.0,17.1,126,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:38:20,55.27806333,-131.5042133,0,118.0,17.0,118,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:38:50,55.27694833,-131.500755,0,120.3,17.0,121,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:37:37,55.27954,-131.5094683,0,113.6,16.7,114,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:36:32,55.28145833,-131.51745,0,112.0,16.2,111,9229659,ZCDF4,VANCOUVER
CORAL PRINCESS,310376000,2008-09-14T02:35:02,55.28389667,-131.5280333,0,112.1,15.1,111,9229659,ZCDF4,VANCOUVER
