bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign
2008-08-05T23:59:58,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44295,-134.4937683,181,179,18.8,0,9116864,C6UA2
2008-08-05T23:59:52,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44355667,-134.493785,181,179,18.7,0,9116864,C6UA2
2008-08-05T23:59:46,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44398833,-134.4937983,181,179,18.7,0,9116864,C6UA2
2008-08-05T23:59:40,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44459333,-134.493815,181,179,18.8,0,9116864,C6UA2
2008-08-05T23:59:34,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44511333,-134.4938267,181,179,18.7,0,9116864,C6UA2
2008-08-05T23:59:30,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44554667,-134.493835,181,179,18.7,0,9116864,C6UA2
2008-08-05T23:59:22,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44615167,-134.4938467,181,180,18.7,0,9116864,C6UA2
2008-08-05T23:59:16,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44667,-134.4938533,181,180,18.7,0,9116864,C6UA2
2008-08-05T23:59:10,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44710167,-134.4938567,181,180,18.7,0,9116864,C6UA2
2008-08-05T23:59:04,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44770667,-134.49386,181,180,18.7,0,9116864,C6UA2
2008-08-05T23:58:58,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.448225,-134.4938633,182,180,18.7,0,9116864,C6UA2
2008-08-05T23:58:52,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.448745,-134.4938667,181,180,18.8,0,9116864,C6UA2
2008-08-05T23:58:46,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44917667,-134.4938717,181,180,18.7,0,9116864,C6UA2
2008-08-05T23:58:40,311805000,RHAPSODY OF THE SEAS,SKAGWAY,56.44978333,-134.4938783,181,180,18.7,0,9116864,C6UA2
