bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,Type of ship
2008-09-06T01:59:46,311109000,NORWEGIAN SUN,VANCOUVER,54.4093333,-131.868,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-06T00:59:26,311109000,NORWEGIAN SUN,VANCOUVER,54.4466667,-132.349333,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-06T04:00:52,311109000,NORWEGIAN SUN,VANCOUVER,54.3333333,-130.992,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-06T03:59:01,311109000,NORWEGIAN SUN,VANCOUVER,54.33491667,-130.99775,114,114.0,13.1,0,9218131,C6RN3,16
2008-09-06T03:58:55,311109000,NORWEGIAN SUN,VANCOUVER,54.33505,-130.9983167,113,111.2,13.4,0,9218131,C6RN3,16
2008-09-06T03:56:55,311109000,NORWEGIAN SUN,VANCOUVER,54.33741667,-131.0115667,105,103.8,15.1,0,9218131,C6RN3,16
2008-09-06T03:50:19,311109000,NORWEGIAN SUN,VANCOUVER,54.3441,-131.0568667,106,106.0,14.7,0,9218131,C6RN3,16
2008-09-06T03:44:43,311109000,NORWEGIAN SUN,VANCOUVER,54.34993333,-131.0945,106,103.6,14.7,0,9218131,C6RN3,16
2008-09-06T04:29:07,311109000,NORWEGIAN SUN,VANCOUVER,54.22738333,-131.0173,194,194.6,17.1,0,9218131,C6RN3,16
2008-09-06T04:27:07,311109000,NORWEGIAN SUN,VANCOUVER,54.23643333,-131.0132167,194,195.0,17.0,0,9218131,C6RN3,16
2008-09-06T04:27:50,311109000,NORWEGIAN SUN,VANCOUVER,54.23323333,-131.0146333,194,195.0,17.0,0,9218131,C6RN3,16
2008-09-06T03:00:57,311109000,NORWEGIAN SUN,VANCOUVER,54.378,-131.413333,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-06T05:01:13,311109000,NORWEGIAN SUN,VANCOUVER,54.08,-131.036,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-06T06:02:59,311109000,NORWEGIAN SUN,VANCOUVER,53.7833333,-130.997333,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-06T07:02:10,311109000,NORWEGIAN SUN,VANCOUVER,53.4873333,-131.011333,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-06T09:03:25,311109000,NORWEGIAN SUN,VANCOUVER,52.9786667,-130.53,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-06T08:02:56,311109000,NORWEGIAN SUN,VANCOUVER,53.2206667,-130.8,511,360.0,102.3,15,9218131,C6RN3,16
