bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign
2008-08-01T18:21:43,310361000,STAR PRINCESS,VICTORIA,54.03,-134.008667,511,360.0,102.3,15,9192363,ZCDD6
2008-08-01T17:21:31,310361000,STAR PRINCESS,VICTORIA,54.358,-134.104,511,360.0,102.3,15,9192363,ZCDD6
2008-08-01T14:52:05,310361000,STAR PRINCESS,VICTORIA,55.16465,-134.3416833,172,170.3,20.4,0,9192363,ZCDD6
2008-08-01T14:43:18,310361000,STAR PRINCESS,VICTORIA,55.2139,-134.3562333,171,169.8,20.6,0,9192363,ZCDD6
2008-08-01T14:43:07,310361000,STAR PRINCESS,VICTORIA,55.21501667,-134.3565667,171,170.1,20.4,0,9192363,ZCDD6
2008-08-01T14:42:54,310361000,STAR PRINCESS,VICTORIA,55.21615,-134.3569,171,170.4,20.5,0,9192363,ZCDD6
2008-08-01T14:42:47,310361000,STAR PRINCESS,VICTORIA,55.2167,-134.3570667,171,170.4,20.4,0,9192363,ZCDD6
2008-08-01T14:42:42,310361000,STAR PRINCESS,VICTORIA,55.21726667,-134.35725,171,171.2,20.4,0,9192363,ZCDD6
2008-08-01T14:42:36,310361000,STAR PRINCESS,VICTORIA,55.21781667,-134.3574167,171,170.4,20.4,0,9192363,ZCDD6
2008-08-01T14:42:31,310361000,STAR PRINCESS,VICTORIA,55.21838333,-134.3576,171,170.4,20.5,0,9192363,ZCDD6
2008-08-01T14:42:24,310361000,STAR PRINCESS,VICTORIA,55.21893333,-134.3577833,171,170.4,20.4,0,9192363,ZCDD6
2008-08-01T14:42:18,310361000,STAR PRINCESS,VICTORIA,55.21951667,-134.3579667,171,170.4,20.4,0,9192363,ZCDD6
2008-08-01T14:42:12,310361000,STAR PRINCESS,VICTORIA,55.22006667,-134.3581167,171,170.4,20.3,0,9192363,ZCDD6
2008-08-01T14:42:06,310361000,STAR PRINCESS,VICTORIA,55.22061667,-134.3583,171,170.4,20.5,0,9192363,ZCDD6
2008-08-01T14:41:54,310361000,STAR PRINCESS,VICTORIA,55.22171667,-134.35865,171,170.4,20.4,0,9192363,ZCDD6
2008-08-01T14:41:42,310361000,STAR PRINCESS,VICTORIA,55.22285,-134.3589833,171,170.1,20.4,0,9192363,ZCDD6
2008-08-01T14:41:31,310361000,STAR PRINCESS,VICTORIA,55.22383333,-134.3593,171,170.1,20.3,0,9192363,ZCDD6
2008-08-01T14:40:54,310361000,STAR PRINCESS,VICTORIA,55.22731667,-134.3603,171,170.1,20.4,0,9192363,ZCDD6
2008-08-01T14:40:42,310361000,STAR PRINCESS,VICTORIA,55.22855,-134.3606833,171,170.7,20.4,0,9192363,ZCDD6
2008-08-01T14:40:37,310361000,STAR PRINCESS,VICTORIA,55.22911667,-134.3608333,171,169.8,20.4,0,9192363,ZCDD6
2008-08-01T14:40:31,310361000,STAR PRINCESS,VICTORIA,55.22955,-134.36095,171,170.7,20.6,0,9192363,ZCDD6
2008-08-01T14:40:24,310361000,STAR PRINCESS,VICTORIA,55.23011667,-134.3611167,171,170.7,20.4,0,9192363,ZCDD6
2008-08-01T14:40:19,310361000,STAR PRINCESS,VICTORIA,55.23068333,-134.3612667,171,170.7,20.5,0,9192363,ZCDD6
2008-08-01T14:40:13,310361000,STAR PRINCESS,VICTORIA,55.23125,-134.3614167,171,170.7,20.5,0,9192363,ZCDD6
2008-08-01T14:40:06,310361000,STAR PRINCESS,VICTORIA,55.23181667,-134.3615833,171,170.7,20.5,0,9192363,ZCDD6
2008-08-01T14:40:00,310361000,STAR PRINCESS,VICTORIA,55.23235,-134.36175,171,170.7,20.5,0,9192363,ZCDD6
2008-08-01T14:39:56,310361000,STAR PRINCESS,VICTORIA,55.23281667,-134.3618833,171,170.7,20.4,0,9192363,ZCDD6
2008-08-01T14:39:50,310361000,STAR PRINCESS,VICTORIA,55.23348333,-134.3620333,171,169.8,20.4,0,9192363,ZCDD6
2008-08-01T14:39:42,310361000,STAR PRINCESS,VICTORIA,55.23403333,-134.3622167,171,170.7,20.6,0,9192363,ZCDD6
2008-08-01T14:39:37,310361000,STAR PRINCESS,VICTORIA,55.2346,-134.3623667,171,170.7,20.3,0,9192363,ZCDD6
2008-08-01T14:39:31,310361000,STAR PRINCESS,VICTORIA,55.23505,-134.3625,171,170.7,20.4,0,9192363,ZCDD6
2008-08-01T14:39:24,310361000,STAR PRINCESS,VICTORIA,55.23571667,-134.3626833,171,169.8,20.5,0,9192363,ZCDD6
2008-08-01T14:39:19,310361000,STAR PRINCESS,VICTORIA,55.23628333,-134.3628333,171,171.0,20.4,0,9192363,ZCDD6
