bs_ts,name,mmsi,lat,lon,heading,destination,cog,sog,imo,callsign,Type of ship and cargo
2008-05-23T21:18:43,NORWEGIAN SUN,311109000,54.8772,-134.00955,165,VANCOUVER,164.3,17.0,9218131,C6RN3,69
2008-05-23T21:18:31,NORWEGIAN SUN,311109000,54.87811667,-134.0100167,164,VANCOUVER,162.3,17.2,9218131,C6RN3,69
2008-05-23T21:17:55,NORWEGIAN SUN,311109000,54.88083333,-134.0113667,165,VANCOUVER,165.3,17.1,9218131,C6RN3,69
2008-05-23T17:54:20,NORWEGIAN SUN,311109000,55.83971667,-134.4654,176,VANCOUVER,176.3,18.0,9218131,C6RN3,69
2008-05-23T17:50:56,NORWEGIAN SUN,311109000,55.85666667,-134.4676167,175,VANCOUVER,175.9,18.0,9218131,C6RN3,69
2008-05-23T17:50:44,NORWEGIAN SUN,311109000,55.85766667,-134.46775,175,VANCOUVER,175.6,18.1,9218131,C6RN3,69
2008-05-23T17:48:07,NORWEGIAN SUN,311109000,55.87076667,-134.46945,176,VANCOUVER,176.3,18.2,9218131,C6RN3,69
2008-05-23T17:47:15,NORWEGIAN SUN,311109000,55.87518333,-134.47,175,VANCOUVER,175.9,18.1,9218131,C6RN3,69
2008-05-23T17:46:57,NORWEGIAN SUN,311109000,55.87668333,-134.4702,175,VANCOUVER,175.9,18.1,9218131,C6RN3,69
2008-05-23T17:45:04,NORWEGIAN SUN,311109000,55.88616667,-134.4713667,175,VANCOUVER,176.5,18.1,9218131,C6RN3,69
2008-05-23T17:44:56,NORWEGIAN SUN,311109000,55.88676667,-134.4714333,175,VANCOUVER,175.6,18.1,9218131,C6RN3,69
2008-05-23T17:44:50,NORWEGIAN SUN,311109000,55.88726667,-134.4715,175,VANCOUVER,177.2,18.1,9218131,C6RN3,69
2008-05-23T17:44:43,NORWEGIAN SUN,311109000,55.88776667,-134.4715667,176,VANCOUVER,177.2,18.1,9218131,C6RN3,69
2008-05-23T17:44:38,NORWEGIAN SUN,311109000,55.88828333,-134.4716167,176,VANCOUVER,176.3,18.0,9218131,C6RN3,69
2008-05-23T17:44:33,NORWEGIAN SUN,311109000,55.88876667,-134.4716667,176,VANCOUVER,177.2,18.1,9218131,C6RN3,69
2008-05-23T17:44:21,NORWEGIAN SUN,311109000,55.88976667,-134.4717833,176,VANCOUVER,177.2,18.0,9218131,C6RN3,69
2008-05-23T17:43:57,NORWEGIAN SUN,311109000,55.89178333,-134.472,176,VANCOUVER,177.2,18.1,9218131,C6RN3,69
2008-05-23T17:43:46,NORWEGIAN SUN,311109000,55.89276667,-134.4721167,176,VANCOUVER,177.2,18.1,9218131,C6RN3,69
2008-05-23T17:43:32,NORWEGIAN SUN,311109000,55.89378333,-134.4722167,176,VANCOUVER,176.3,18.1,9218131,C6RN3,69
2008-05-23T17:43:21,NORWEGIAN SUN,311109000,55.89478333,-134.4723333,176,VANCOUVER,177.2,18.2,9218131,C6RN3,69
2008-05-23T17:42:20,NORWEGIAN SUN,311109000,55.89978333,-134.4729167,175,VANCOUVER,175.9,18.0,9218131,C6RN3,69
2008-05-23T17:42:08,NORWEGIAN SUN,311109000,55.9007,-134.4730167,175,VANCOUVER,175.0,18.0,9218131,C6RN3,69
2008-05-23T17:41:57,NORWEGIAN SUN,311109000,55.9018,-134.4731833,175,VANCOUVER,175.9,18.0,9218131,C6RN3,69
2008-05-23T17:41:44,NORWEGIAN SUN,311109000,55.9027,-134.4733,175,VANCOUVER,175.9,18.0,9218131,C6RN3,69
2008-05-23T17:41:20,NORWEGIAN SUN,311109000,55.90468333,-134.4735333,176,VANCOUVER,176.3,18.1,9218131,C6RN3,69
2008-05-23T17:40:31,NORWEGIAN SUN,311109000,55.9088,-134.4739833,176,VANCOUVER,176.9,18.1,9218131,C6RN3,69
2008-05-23T17:40:20,NORWEGIAN SUN,311109000,55.9098,-134.4741,176,VANCOUVER,176.9,18.0,9218131,C6RN3,69
2008-05-23T17:39:56,NORWEGIAN SUN,311109000,55.9117,-134.4743333,175,VANCOUVER,175.6,18.0,9218131,C6RN3,69
2008-05-23T17:39:31,NORWEGIAN SUN,311109000,55.9137,-134.4745667,175,VANCOUVER,175.9,18.0,9218131,C6RN3,69
2008-05-23T17:39:21,NORWEGIAN SUN,311109000,55.91468333,-134.4746833,175,VANCOUVER,174.6,18.1,9218131,C6RN3,69
2008-05-23T17:38:37,NORWEGIAN SUN,311109000,55.9183,-134.4751667,176,VANCOUVER,360.0,102.3,9218131,C6RN3,69
2008-05-23T17:38:15,NORWEGIAN SUN,311109000,55.92016667,-134.4753833,176,VANCOUVER,177.2,17.9,9218131,C6RN3,69
2008-05-23T17:38:03,NORWEGIAN SUN,311109000,55.92115,-134.4755,176,VANCOUVER,176.3,18.1,9218131,C6RN3,69
