bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign
2008-06-18T23:58:24,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,229.0,0.1,5,9226891,PINX
2008-06-18T23:58:05,244128000,WESTERDAM,SITKA,58.2955,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:55:23,244128000,WESTERDAM,SITKA,58.2955,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:52:19,244128000,WESTERDAM,SITKA,58.29548333,-134.4007167,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:52:05,244128000,WESTERDAM,SITKA,58.29571667,-134.4007667,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:49:17,244128000,WESTERDAM,SITKA,58.29571667,-134.4007667,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:46:19,244128000,WESTERDAM,SITKA,58.29553333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:46:05,244128000,WESTERDAM,SITKA,58.29563333,-134.4007833,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:43:15,244128000,WESTERDAM,SITKA,58.29563333,-134.4007833,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:40:17,244128000,WESTERDAM,SITKA,58.29551667,-134.4007,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:40:04,244128000,WESTERDAM,SITKA,58.2955,-134.4007167,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:37:12,244128000,WESTERDAM,SITKA,58.2955,-134.4007167,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:34:13,244128000,WESTERDAM,SITKA,58.2955,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:34:02,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:32:34,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:31:12,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:28:11,244128000,WESTERDAM,SITKA,58.2955,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:25:08,244128000,WESTERDAM,SITKA,58.29551667,-134.4007167,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:22:08,244128000,WESTERDAM,SITKA,58.29551667,-134.4007,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:22:05,244128000,WESTERDAM,SITKA,58.29551667,-134.4007167,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:19:04,244128000,WESTERDAM,SITKA,58.29551667,-134.4007167,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:16:04,244128000,WESTERDAM,SITKA,58.29551667,-134.4007167,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:16:00,244128000,WESTERDAM,SITKA,58.29551667,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:13:04,244128000,WESTERDAM,SITKA,58.29551667,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:10:03,244128000,WESTERDAM,SITKA,58.29551667,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:10:03,244128000,WESTERDAM,SITKA,58.2955,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:07:00,244128000,WESTERDAM,SITKA,58.2955,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:04:00,244128000,WESTERDAM,SITKA,58.2955,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T23:03:59,244128000,WESTERDAM,SITKA,58.2955,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T23:01:00,244128000,WESTERDAM,SITKA,58.2955,-134.4006667,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:57:58,244128000,WESTERDAM,SITKA,58.2955,-134.4007,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:57:56,244128000,WESTERDAM,SITKA,58.2955,-134.4007,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:54:55,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:52:00,244128000,WESTERDAM,SITKA,58.29546667,-134.4007167,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:51:56,244128000,WESTERDAM,SITKA,58.29546667,-134.4007167,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:48:52,244128000,WESTERDAM,SITKA,58.29545,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:45:57,244128000,WESTERDAM,SITKA,58.29545,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:45:53,244128000,WESTERDAM,SITKA,58.29545,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:42:49,244128000,WESTERDAM,SITKA,58.29546667,-134.4008,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:39:55,244128000,WESTERDAM,SITKA,58.29536667,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:39:51,244128000,WESTERDAM,SITKA,58.29536667,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:36:49,244128000,WESTERDAM,SITKA,58.29545,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:33:58,244128000,WESTERDAM,SITKA,58.29548333,-134.4007833,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:33:47,244128000,WESTERDAM,SITKA,58.29548333,-134.4007833,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:30:44,244128000,WESTERDAM,SITKA,58.29551667,-134.4008833,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:27:59,244128000,WESTERDAM,SITKA,58.2955,-134.4008167,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:27:45,244128000,WESTERDAM,SITKA,58.2955,-134.4008167,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:24:44,244128000,WESTERDAM,SITKA,58.29548333,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:21:58,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:21:40,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:18:39,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:15:56,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:15:38,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:13:53,244128000,WESTERDAM,SITKA,58.2955,-134.4007167,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:12:35,244128000,WESTERDAM,SITKA,58.2955,-134.4007167,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:09:54,244128000,WESTERDAM,SITKA,58.2955,-134.4007167,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:09:36,244128000,WESTERDAM,SITKA,58.2955,-134.4007167,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:06:35,244128000,WESTERDAM,SITKA,58.2955,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:03:55,244128000,WESTERDAM,SITKA,58.29551667,-134.4007667,0,0.0,0.0,0,9226891,PINX
2008-06-18T22:03:34,244128000,WESTERDAM,SITKA,58.29551667,-134.4007667,139,139.0,0.0,5,9226891,PINX
2008-06-18T22:00:34,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:57:55,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:57:30,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:54:31,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:51:52,244128000,WESTERDAM,SITKA,58.2955,-134.40075,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:51:29,244128000,WESTERDAM,SITKA,58.2955,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:48:27,244128000,WESTERDAM,SITKA,58.2955,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:45:51,244128000,WESTERDAM,SITKA,58.2955,-134.4007667,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:45:28,244128000,WESTERDAM,SITKA,58.2955,-134.4007667,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:42:24,244128000,WESTERDAM,SITKA,58.2955,-134.4007667,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:39:52,244128000,WESTERDAM,SITKA,58.2955,-134.4007667,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:39:23,244128000,WESTERDAM,SITKA,58.2955,-134.4007667,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:36:22,244128000,WESTERDAM,SITKA,58.29551667,-134.4007833,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:33:49,244128000,WESTERDAM,SITKA,58.2955,-134.4007833,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:33:22,244128000,WESTERDAM,SITKA,58.2955,-134.4007833,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:30:18,244128000,WESTERDAM,SITKA,58.2955,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:27:48,244128000,WESTERDAM,SITKA,58.2955,-134.40075,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:27:17,244128000,WESTERDAM,SITKA,58.2955,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:24:17,244128000,WESTERDAM,SITKA,58.2955,-134.4007667,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:21:52,244128000,WESTERDAM,SITKA,58.29548333,-134.40075,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:21:49,244128000,WESTERDAM,SITKA,58.29548333,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:21:14,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:15:48,244128000,WESTERDAM,SITKA,58.29548333,-134.4007,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:15:12,244128000,WESTERDAM,SITKA,58.29548333,-134.4007,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:12:11,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:09:48,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:09:12,244128000,WESTERDAM,SITKA,58.29548333,-134.4007333,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:06:07,244128000,WESTERDAM,SITKA,58.29548333,-134.40075,139,139.0,0.0,5,9226891,PINX
2008-06-18T21:03:47,244128000,WESTERDAM,SITKA,58.29548333,-134.40075,0,0.0,0.0,0,9226891,PINX
2008-06-18T21:03:09,244128000,WESTERDAM,SITKA,58.29548333,-134.40075,139,139.0,0.0,5,9226891,PINX
