bs_ts,name,mmsi,lat,lon,heading,destination,cog,sog,imo,callsign,Type of ship and cargo
2008-05-21T23:59:50,NORWEGIAN SUN,311109000,57.73993333,-133.6828833,104,ENDICOTT- SKAGWAY,104.0,14.9,9218131,C6RN3,69
2008-05-21T23:59:45,NORWEGIAN SUN,311109000,57.74001667,-133.6836333,105,ENDICOTT- SKAGWAY,105.0,14.9,9218131,C6RN3,69
2008-05-21T23:59:33,NORWEGIAN SUN,311109000,57.74025,-133.6851167,106,ENDICOTT- SKAGWAY,106.7,14.9,9218131,C6RN3,69
2008-05-21T23:59:27,NORWEGIAN SUN,311109000,57.74036667,-133.6858667,107,ENDICOTT- SKAGWAY,107.0,14.9,9218131,C6RN3,69
2008-05-21T23:59:21,NORWEGIAN SUN,311109000,57.74051667,-133.68675,108,ENDICOTT- SKAGWAY,108.0,15.0,9218131,C6RN3,69
2008-05-21T23:59:15,NORWEGIAN SUN,311109000,57.74061667,-133.6873333,109,ENDICOTT- SKAGWAY,109.3,14.9,9218131,C6RN3,69
2008-05-21T23:59:13,NORWEGIAN SUN,311109000,57.74075,-133.6880833,0,ENDICOTT- SKAGWAY,0.0,0.0,9218131,C6RN3,69
2008-05-21T23:59:09,NORWEGIAN SUN,311109000,57.74075,-133.6880833,109,ENDICOTT- SKAGWAY,109.7,14.9,9218131,C6RN3,69
2008-05-21T23:59:03,NORWEGIAN SUN,311109000,57.74088333,-133.6887833,110,ENDICOTT- SKAGWAY,110.0,15.0,9218131,C6RN3,69
2008-05-21T23:58:57,NORWEGIAN SUN,311109000,57.74105,-133.6895667,111,ENDICOTT- SKAGWAY,111.3,15.0,9218131,C6RN3,69
2008-05-21T23:58:50,NORWEGIAN SUN,311109000,57.74125,-133.6904333,112,ENDICOTT- SKAGWAY,112.3,14.9,9218131,C6RN3,69
2008-05-21T23:58:15,NORWEGIAN SUN,311109000,57.74221667,-133.6945333,116,ENDICOTT- SKAGWAY,116.0,15.0,9218131,C6RN3,69
2008-05-21T23:58:09,NORWEGIAN SUN,311109000,57.7424,-133.6952333,117,ENDICOTT- SKAGWAY,117.0,15.0,9218131,C6RN3,69
2008-05-21T23:58:02,NORWEGIAN SUN,311109000,57.74258333,-133.6959167,118,ENDICOTT- SKAGWAY,118.3,15.0,9218131,C6RN3,69
2008-05-21T23:57:45,NORWEGIAN SUN,311109000,57.7432,-133.698,120,ENDICOTT- SKAGWAY,119.2,15.0,9218131,C6RN3,69
2008-05-21T23:57:33,NORWEGIAN SUN,311109000,57.7436,-133.69935,121,ENDICOTT- SKAGWAY,121.0,15.0,9218131,C6RN3,69
2008-05-21T23:57:27,NORWEGIAN SUN,311109000,57.74381667,-133.7,122,ENDICOTT- SKAGWAY,121.2,15.0,9218131,C6RN3,69
2008-05-21T23:57:09,NORWEGIAN SUN,311109000,57.74448333,-133.702,124,ENDICOTT- SKAGWAY,123.6,15.0,9218131,C6RN3,69
2008-05-21T23:56:57,NORWEGIAN SUN,311109000,57.74493333,-133.7033167,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:56:50,NORWEGIAN SUN,311109000,57.74516667,-133.70395,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:56:33,NORWEGIAN SUN,311109000,57.74586667,-133.7058667,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:56:27,NORWEGIAN SUN,311109000,57.7461,-133.7065167,125,ENDICOTT- SKAGWAY,123.8,14.9,9218131,C6RN3,69
2008-05-21T23:56:21,NORWEGIAN SUN,311109000,57.74633333,-133.70715,125,ENDICOTT- SKAGWAY,125.0,14.9,9218131,C6RN3,69
2008-05-21T23:56:09,NORWEGIAN SUN,311109000,57.74681667,-133.7084333,125,ENDICOTT- SKAGWAY,123.8,14.9,9218131,C6RN3,69
2008-05-21T23:56:02,NORWEGIAN SUN,311109000,57.74703333,-133.7090833,125,ENDICOTT- SKAGWAY,123.8,14.9,9218131,C6RN3,69
2008-05-21T23:55:57,NORWEGIAN SUN,311109000,57.74723333,-133.7095833,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:55:51,NORWEGIAN SUN,311109000,57.74746667,-133.7102167,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:55:45,NORWEGIAN SUN,311109000,57.74775,-133.711,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:55:39,NORWEGIAN SUN,311109000,57.74796667,-133.71165,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:55:09,NORWEGIAN SUN,311109000,57.74916667,-133.7148667,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:54:51,NORWEGIAN SUN,311109000,57.74983333,-133.71665,125,ENDICOTT- SKAGWAY,125.0,15.0,9218131,C6RN3,69
2008-05-21T23:54:39,NORWEGIAN SUN,311109000,57.75035,-133.7180667,125,ENDICOTT- SKAGWAY,125.0,15.0,9218131,C6RN3,69
2008-05-21T23:54:21,NORWEGIAN SUN,311109000,57.75101667,-133.71985,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:54:03,NORWEGIAN SUN,311109000,57.75171667,-133.7217833,125,ENDICOTT- SKAGWAY,125.0,15.0,9218131,C6RN3,69
2008-05-21T23:53:33,NORWEGIAN SUN,311109000,57.75295,-133.7251167,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:53:27,NORWEGIAN SUN,311109000,57.75318333,-133.72575,125,ENDICOTT- SKAGWAY,123.8,15.0,9218131,C6RN3,69
2008-05-21T23:53:21,NORWEGIAN SUN,311109000,57.75336667,-133.7262667,125,ENDICOTT- SKAGWAY,123.8,15.1,9218131,C6RN3,69
2008-05-21T23:53:15,NORWEGIAN SUN,311109000,57.75361667,-133.7269167,125,ENDICOTT- SKAGWAY,125.0,15.0,9218131,C6RN3,69
2008-05-21T23:53:12,NORWEGIAN SUN,311109000,57.7539,-133.7276833,0,ENDICOTT- SKAGWAY,0.0,0.0,9218131,C6RN3,69
2008-05-21T23:53:09,NORWEGIAN SUN,311109000,57.7539,-133.7276833,125,ENDICOTT- SKAGWAY,125.0,15.1,9218131,C6RN3,69
2008-05-21T23:53:03,NORWEGIAN SUN,311109000,57.75408333,-133.7282,125,ENDICOTT- SKAGWAY,125.0,15.1,9218131,C6RN3,69
2008-05-21T23:52:57,NORWEGIAN SUN,311109000,57.75431667,-133.7288333,125,ENDICOTT- SKAGWAY,125.0,15.1,9218131,C6RN3,69
2008-05-21T23:52:51,NORWEGIAN SUN,311109000,57.75456667,-133.7295,125,ENDICOTT- SKAGWAY,125.0,15.1,9218131,C6RN3,69
2008-05-21T23:52:45,NORWEGIAN SUN,311109000,57.75485,-133.7302833,125,ENDICOTT- SKAGWAY,125.0,15.1,9218131,C6RN3,69
2008-05-21T23:52:39,NORWEGIAN SUN,311109000,57.75503333,-133.7307833,125,ENDICOTT- SKAGWAY,125.0,15.1,9218131,C6RN3,69
2008-05-21T23:52:33,NORWEGIAN SUN,311109000,57.75533333,-133.7315667,125,ENDICOTT- SKAGWAY,125.0,15.1,9218131,C6RN3,69
2008-05-21T23:52:27,NORWEGIAN SUN,311109000,57.75551667,-133.7320667,125,ENDICOTT- SKAGWAY,125.0,15.1,9218131,C6RN3,69
2008-05-21T23:52:21,NORWEGIAN SUN,311109000,57.75576667,-133.7327167,125,ENDICOTT- SKAGWAY,126.1,15.2,9218131,C6RN3,69
2008-05-21T23:52:15,NORWEGIAN SUN,311109000,57.75601667,-133.73335,125,ENDICOTT- SKAGWAY,126.1,15.2,9218131,C6RN3,69
2008-05-21T23:51:45,NORWEGIAN SUN,311109000,57.75725,-133.7365667,126,ENDICOTT- SKAGWAY,126.7,15.3,9218131,C6RN3,69
2008-05-21T23:51:39,NORWEGIAN SUN,311109000,57.7575,-133.7371833,126,ENDICOTT- SKAGWAY,126.3,15.3,9218131,C6RN3,69
2008-05-21T23:51:33,NORWEGIAN SUN,311109000,57.75776667,-133.7378333,127,ENDICOTT- SKAGWAY,127.7,15.3,9218131,C6RN3,69
2008-05-21T23:51:27,NORWEGIAN SUN,311109000,57.75801667,-133.7384667,127,ENDICOTT- SKAGWAY,127.0,15.4,9218131,C6RN3,69
2008-05-21T23:51:16,NORWEGIAN SUN,311109000,57.75855,-133.73975,128,ENDICOTT- SKAGWAY,129.1,15.4,9218131,C6RN3,69
