bs_ts,name,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
2008-06-29T17:45:25,AMSTERDAM,244370000,58.20531667,-134.2416267,0,315,16.6,313,9188037,PBAD,
2008-06-29T17:53:59,AMSTERDAM,244370000,58.230125,-134.2879483,0,317,13.9,314,9188037,PBAD,
2008-06-29T17:52:59,AMSTERDAM,244370000,58.22733667,-134.2829217,0,316,13.9,314,9188037,PBAD,
2008-06-29T17:49:48,AMSTERDAM,244370000,58.21875667,-134.26679,0,315,13.3,313,9188037,PBAD,
2008-06-29T17:49:00,AMSTERDAM,244370000,58.21658333,-134.2627383,0,316,14.4,313,9188037,PBAD,
2008-06-29T17:48:13,AMSTERDAM,244370000,58.21419833,-134.2583067,0,315,15.5,313,9188037,PBAD,
2008-06-29T18:00:59,AMSTERDAM,244370000,58.24972,-134.3233983,0,316,13.9,313,9188037,PBAD,
2008-06-29T17:59:59,AMSTERDAM,244370000,58.24695,-134.3182783,0,316,13.9,313,9188037,PBAD,
2008-06-29T17:56:59,AMSTERDAM,244370000,58.23856167,-134.3031333,0,316,13.9,314,9188037,PBAD,
2008-06-29T18:06:15,AMSTERDAM,244370000,58.26196667,-134.3478517,0,311,11.0,308,9188037,PBAD,
2008-06-29T18:04:27,AMSTERDAM,244370000,58.25822833,-134.339955,0,313,11.6,310,9188037,PBAD,
2008-06-29T18:03:07,AMSTERDAM,244370000,58.25517833,-134.3337883,0,314,12.4,312,9188037,PBAD,
2008-06-29T18:02:43,AMSTERDAM,244370000,58.25425,-134.3319817,0,314,12.8,312,9188037,PBAD,
2008-06-29T18:20:32,AMSTERDAM,244370000,58.285615,-134.3999433,0,323,6.3,325,9188037,PBAD,
2008-06-29T18:20:17,AMSTERDAM,244370000,58.28526833,-134.399425,0,319,6.5,321,9188037,PBAD,
2008-06-29T18:19:57,AMSTERDAM,244370000,58.28479833,-134.3986183,0,315,6.6,317,9188037,PBAD,
2008-06-29T18:19:36,AMSTERDAM,244370000,58.28437,-134.3977733,0,312,6.8,313,9188037,PBAD,
2008-06-29T18:19:17,AMSTERDAM,244370000,58.28397667,-134.3969117,0,309,7.0,309,9188037,PBAD,
2008-06-29T18:19:07,AMSTERDAM,244370000,58.28377333,-134.3964383,0,300,6.5,308,9188037,PBAD,
2008-06-29T18:17:17,AMSTERDAM,244370000,58.28152333,-134.390665,0,307,8.0,305,9188037,PBAD,
2008-06-29T18:15:46,AMSTERDAM,244370000,58.27935,-134.3853817,0,309,8.9,307,9188037,PBAD,
2008-06-29T18:15:07,AMSTERDAM,244370000,58.27831667,-134.3830033,0,311,9.1,308,9188037,PBAD,
2008-06-29T18:12:06,AMSTERDAM,244370000,58.27294,-134.3716933,0,312,10.0,310,9188037,PBAD,
2008-06-29T18:09:17,AMSTERDAM,244370000,58.26773,-134.3605467,0,311,10.2,309,9188037,PBAD,
2008-06-29T23:58:26,AMSTERDAM,244370000,58.29821667,-134.405545,5,301,0.0,316,9188037,PBAD,
2008-06-29T23:52:26,AMSTERDAM,244370000,58.29821333,-134.4055433,5,297,0.0,316,9188037,PBAD,
2008-06-29T23:49:26,AMSTERDAM,244370000,58.29821167,-134.405545,5,22,0.0,316,9188037,PBAD,
2008-06-29T23:43:27,AMSTERDAM,244370000,58.29821,-134.40555,5,265,0.0,315,9188037,PBAD,
2008-06-29T23:40:26,AMSTERDAM,244370000,58.29821667,-134.40555,5,26,0.0,315,9188037,PBAD,
2008-06-29T23:34:26,AMSTERDAM,244370000,58.29821667,-134.4055483,5,317,0.0,315,9188037,PBAD,
2008-06-29T23:28:26,AMSTERDAM,244370000,58.298205,-134.4055567,5,16,0.0,315,9188037,PBAD,
2008-06-29T23:22:26,AMSTERDAM,244370000,58.29820667,-134.405555,5,117,0.0,314,9188037,PBAD,
2008-06-29T23:16:26,AMSTERDAM,244370000,58.29819,-134.4055433,5,90,0.0,314,9188037,PBAD,
2008-06-29T23:10:27,AMSTERDAM,244370000,58.29819,-134.4055467,5,213,0.0,314,9188037,PBAD,
2008-06-29T23:04:26,AMSTERDAM,244370000,58.29818833,-134.405555,5,29,0.0,315,9188037,PBAD,
2008-06-29T22:58:26,AMSTERDAM,244370000,58.29817333,-134.4055517,5,169,0.0,315,9188037,PBAD,
2008-06-29T22:52:26,AMSTERDAM,244370000,58.29817667,-134.405555,5,272,0.0,316,9188037,PBAD,
2008-06-29T22:46:27,AMSTERDAM,244370000,58.29817333,-134.4055633,5,179,0.0,316,9188037,PBAD,
2008-06-29T22:40:26,AMSTERDAM,244370000,58.298175,-134.4055667,5,96,0.0,317,9188037,PBAD,
2008-06-29T22:34:26,AMSTERDAM,244370000,58.29817,-134.4055717,5,42,0.0,316,9188037,PBAD,
2008-06-29T22:31:26,AMSTERDAM,244370000,58.29817167,-134.4055833,5,140,0.0,316,9188037,PBAD,
2008-06-29T22:28:26,AMSTERDAM,244370000,58.298185,-134.405585,5,239,0.0,316,9188037,PBAD,
2008-06-29T22:22:26,AMSTERDAM,244370000,58.29817833,-134.40558,5,285,0.0,315,9188037,PBAD,
2008-06-29T22:16:27,AMSTERDAM,244370000,58.29818167,-134.4055683,5,198,0.0,315,9188037,PBAD,
2008-06-29T22:13:26,AMSTERDAM,244370000,58.29818667,-134.4055783,5,234,0.0,315,9188037,PBAD,
2008-06-29T22:10:26,AMSTERDAM,244370000,58.29818333,-134.4055783,5,257,0.0,315,9188037,PBAD,
2008-06-29T22:04:26,AMSTERDAM,244370000,58.29818833,-134.40557,5,218,0.0,315,9188037,PBAD,
2008-06-29T21:58:26,AMSTERDAM,244370000,58.29819167,-134.4055533,5,13,0.0,316,9188037,PBAD,
2008-06-29T21:52:26,AMSTERDAM,244370000,58.29820167,-134.4055567,5,198,0.0,316,9188037,PBAD,
2008-06-29T21:46:26,AMSTERDAM,244370000,58.29820167,-134.4055667,5,114,0.0,316,9188037,PBAD,
2008-06-29T21:40:27,AMSTERDAM,244370000,58.29819833,-134.4055667,5,312,0.0,316,9188037,PBAD,
2008-06-29T21:34:26,AMSTERDAM,244370000,58.29819833,-134.4055567,5,315,0.0,316,9188037,PBAD,
2008-06-29T21:28:27,AMSTERDAM,244370000,58.29819667,-134.4055567,5,13,0.0,316,9188037,PBAD,
2008-06-29T21:25:26,AMSTERDAM,244370000,58.29819333,-134.4055583,5,272,0.0,316,9188037,PBAD,
2008-06-29T21:22:26,AMSTERDAM,244370000,58.298195,-134.4055567,5,167,0.0,316,9188037,PBAD,
2008-06-29T21:16:26,AMSTERDAM,244370000,58.29818833,-134.405555,5,171,0.0,315,9188037,PBAD,
2008-06-29T21:10:26,AMSTERDAM,244370000,58.29819667,-134.4055617,5,152,0.0,315,9188037,PBAD,
2008-06-29T21:07:26,AMSTERDAM,244370000,58.29820833,-134.4055667,5,315,0.0,315,9188037,PBAD,
2008-06-29T21:01:26,AMSTERDAM,244370000,58.29821833,-134.40558,5,277,0.0,315,9188037,PBAD,
2008-06-29T20:58:26,AMSTERDAM,244370000,58.29821333,-134.4055783,5,20,0.0,315,9188037,PBAD,
2008-06-29T20:52:26,AMSTERDAM,244370000,58.29822833,-134.4055833,5,179,0.0,315,9188037,PBAD,
2008-06-29T20:49:26,AMSTERDAM,244370000,58.29822333,-134.4055733,5,315,0.0,315,9188037,PBAD,
2008-06-29T20:40:26,AMSTERDAM,244370000,58.29822167,-134.4055617,5,225,0.0,315,9188037,PBAD,
2008-06-29T20:34:27,AMSTERDAM,244370000,58.29822333,-134.4055667,5,243,0.0,315,9188037,PBAD,
2008-06-29T20:28:26,AMSTERDAM,244370000,58.29822667,-134.4055667,5,278,0.0,315,9188037,PBAD,
2008-06-29T20:22:26,AMSTERDAM,244370000,58.29821833,-134.4055517,5,191,0.0,315,9188037,PBAD,
2008-06-29T20:16:27,AMSTERDAM,244370000,58.29822,-134.405565,5,106,0.0,315,9188037,PBAD,
2008-06-29T20:10:26,AMSTERDAM,244370000,58.29821833,-134.4055583,5,25,0.0,315,9188037,PBAD,
2008-06-29T20:04:26,AMSTERDAM,244370000,58.29822667,-134.4055583,5,264,0.0,314,9188037,PBAD,
2008-06-29T20:01:26,AMSTERDAM,244370000,58.29822333,-134.40556,5,233,0.0,314,9188037,PBAD,
2008-06-29T19:58:26,AMSTERDAM,244370000,58.29822,-134.4055683,5,168,0.0,314,9188037,PBAD,
2008-06-29T19:52:27,AMSTERDAM,244370000,58.29822333,-134.40556,5,137,0.0,314,9188037,PBAD,
2008-06-29T19:46:26,AMSTERDAM,244370000,58.29822333,-134.4055617,5,153,0.0,314,9188037,PBAD,
2008-06-29T19:43:26,AMSTERDAM,244370000,58.298225,-134.40556,5,315,0.0,314,9188037,PBAD,
2008-06-29T19:37:26,AMSTERDAM,244370000,58.29820667,-134.405575,5,39,0.0,314,9188037,PBAD,
2008-06-29T19:34:26,AMSTERDAM,244370000,58.29822167,-134.405565,5,97,0.0,314,9188037,PBAD,
2008-06-29T19:28:26,AMSTERDAM,244370000,58.298225,-134.405555,5,23,0.0,314,9188037,PBAD,
2008-06-29T19:22:26,AMSTERDAM,244370000,58.29821833,-134.4055717,5,119,0.0,314,9188037,PBAD,
2008-06-29T19:16:26,AMSTERDAM,244370000,58.29821833,-134.405565,5,249,0.0,314,9188037,PBAD,
2008-06-29T19:10:26,AMSTERDAM,244370000,58.29822833,-134.4055583,5,130,0.0,314,9188037,PBAD,
