bs_ts,name,mmsi,destination,heading,lat,lon,cog,sog,nav_status,imo,callsign,Type of ship
2008-09-20T23:57:24,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34211667,-131.6498167,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:57:08,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34211667,-131.6498167,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:54:20,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34211667,-131.6498167,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:51:21,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34211667,-131.6498,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:51:09,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34211667,-131.6498,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:48:18,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34211667,-131.6498,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:45:16,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34211667,-131.6498,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:45:10,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34213333,-131.6498333,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:42:17,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498333,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:41:46,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34213333,-131.6498333,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:39:13,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498333,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:36:15,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498333,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:35:45,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34213333,-131.6498333,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:33:12,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498333,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:31:53,ISLAND PRINCESS,310384000,KETCHIKAN,511,55.342,-131.650667,360.0,102.3,15,9230402.0,ZCDG4,16.0
2008-09-20T23:30:09,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498333,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:29:44,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34213333,-131.6498333,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:29:11,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34213333,-131.6498333,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:27:08,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498333,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:24:07,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498167,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:21:07,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498333,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:18:05,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498167,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:17:45,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34213333,-131.6498167,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:15:04,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498167,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:12:03,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498167,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:11:42,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34213333,-131.6498167,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:09:02,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498167,113.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:06:00,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34213333,-131.6498167,317.7,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:05:45,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34266167,-131.6522267,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T23:02:59,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T23:02:05,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34266167,-131.6522267,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T22:59:57,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:56:56,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:56:06,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34266167,-131.6522267,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T22:53:54,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:50:53,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:50:07,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34266167,-131.6522267,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T22:47:52,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:44:51,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:44:06,ISLAND PRINCESS,310384000,KETCHIKAN,0,55.34266167,-131.6522267,0.0,0.0,0,9230402.0,ZCDG4,16.0
2008-09-20T22:42:39,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:42:27,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:42:17,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:42:08,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:41:57,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:41:48,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:41:39,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:41:27,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
2008-09-20T22:41:17,ISLAND PRINCESS,310384000,KETCHIKAN,113,55.34266167,-131.6522267,0.0,0.0,5,9230402.0,ZCDG4,16.0
