bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,Type of ship
2008-09-17T21:58:06,311109000,NORWEGIAN SUN,JUNEAU,58.2048,-134.23695,134,134.7,16.3,5,9218131,C6RN3,16
2008-09-17T13:18:41,311109000,NORWEGIAN SUN,JUNEAU,58.20653333,-134.2385,314,312.9,16.1,0,9218131,C6RN3,16
2008-09-17T13:18:04,311109000,NORWEGIAN SUN,JUNEAU,58.20471667,-134.2348,312,312.0,15.9,0,9218131,C6RN3,16
2008-09-17T13:17:10,311109000,NORWEGIAN SUN,JUNEAU,58.20215,-134.2291167,310,309.6,15.8,0,9218131,C6RN3,16
2008-09-17T21:55:19,311109000,NORWEGIAN SUN,JUNEAU,58.21346667,-134.2539667,134,133.6,15.9,5,9218131,C6RN3,16
2008-09-17T21:53:55,311109000,NORWEGIAN SUN,JUNEAU,58.21766667,-134.2622667,134,133.6,15.8,5,9218131,C6RN3,16
2008-09-17T21:52:06,311109000,NORWEGIAN SUN,JUNEAU,58.22315,-134.2729,134,133.6,15.1,5,9218131,C6RN3,16
2008-09-17T21:52:43,311109000,NORWEGIAN SUN,JUNEAU,58.22133333,-134.2693333,134,134.0,15.4,5,9218131,C6RN3,16
2008-09-17T21:49:41,311109000,NORWEGIAN SUN,JUNEAU,58.22983333,-134.2860333,134,134.0,14.0,5,9218131,C6RN3,16
2008-09-17T21:47:24,311109000,NORWEGIAN SUN,JUNEAU,58.23605,-134.2981833,134,134.0,14.0,5,9218131,C6RN3,16
2008-09-17T13:28:40,311109000,NORWEGIAN SUN,JUNEAU,58.23666667,-134.2980667,315,315.0,11.9,0,9218131,C6RN3,16
2008-09-17T13:27:58,311109000,NORWEGIAN SUN,JUNEAU,58.23495,-134.2947833,315,315.0,12.7,0,9218131,C6RN3,16
2008-09-17T13:27:10,311109000,NORWEGIAN SUN,JUNEAU,58.23295,-134.2909,315,315.0,13.9,0,9218131,C6RN3,16
2008-09-17T13:27:05,311109000,NORWEGIAN SUN,JUNEAU,58.23265,-134.2903833,315,315.0,14.0,0,9218131,C6RN3,16
2008-09-17T13:25:52,311109000,NORWEGIAN SUN,JUNEAU,58.22925,-134.2837833,314,314.0,15.1,0,9218131,C6RN3,16
2008-09-17T13:24:35,311109000,NORWEGIAN SUN,JUNEAU,58.22538333,-134.2760833,314,314.0,16.2,0,9218131,C6RN3,16
2008-09-17T13:22:28,311109000,NORWEGIAN SUN,JUNEAU,58.21866667,-134.2625833,314,312.9,17.1,0,9218131,C6RN3,16
2008-09-17T13:21:28,311109000,NORWEGIAN SUN,JUNEAU,58.21543333,-134.2560667,314,314.0,16.9,0,9218131,C6RN3,16
2008-09-17T21:45:06,311109000,NORWEGIAN SUN,JUNEAU,58.24225,-134.3104167,135,133.7,14.3,5,9218131,C6RN3,16
2008-09-17T13:34:15,311109000,NORWEGIAN SUN,JUNEAU,58.2478,-134.3193833,315,315.0,10.6,0,9218131,C6RN3,16
2008-09-17T13:33:26,311109000,NORWEGIAN SUN,JUNEAU,58.24615,-134.3162167,315,315.0,9.5,0,9218131,C6RN3,16
2008-09-17T13:32:15,311109000,NORWEGIAN SUN,JUNEAU,58.24416667,-134.3124,315,315.0,8.2,0,9218131,C6RN3,16
2008-09-17T13:31:34,311109000,NORWEGIAN SUN,JUNEAU,58.24296667,-134.31015,315,315.0,9.4,0,9218131,C6RN3,16
2008-09-17T13:30:58,311109000,NORWEGIAN SUN,JUNEAU,58.24183333,-134.3079333,315,315.0,10.6,0,9218131,C6RN3,16
2008-09-17T21:42:04,311109000,NORWEGIAN SUN,JUNEAU,58.25055,-134.3263,135,134.5,13.4,5,9218131,C6RN3,16
2008-09-17T21:40:34,311109000,NORWEGIAN SUN,JUNEAU,58.25433333,-134.3333833,135,134.5,12.3,5,9218131,C6RN3,16
2008-09-17T21:39:25,311109000,NORWEGIAN SUN,JUNEAU,58.25698333,-134.3385167,134,134.0,11.5,5,9218131,C6RN3,16
2008-09-17T21:38:13,311109000,NORWEGIAN SUN,JUNEAU,58.2594,-134.3437333,132,131.4,10.3,5,9218131,C6RN3,16
2008-09-17T21:38:43,311109000,NORWEGIAN SUN,JUNEAU,58.25838333,-134.3416,132,130.9,10.7,5,9218131,C6RN3,16
2008-09-17T13:40:34,311109000,NORWEGIAN SUN,JUNEAU,58.26205,-134.3468,315,313.8,10.3,0,9218131,C6RN3,16
2008-09-17T13:40:24,311109000,NORWEGIAN SUN,JUNEAU,58.26168333,-134.3460167,315,313.8,10.3,0,9218131,C6RN3,16
2008-09-17T13:38:45,311109000,NORWEGIAN SUN,JUNEAU,58.25816667,-134.3392,315,314.0,11.5,0,9218131,C6RN3,16
2008-09-17T13:35:34,311109000,NORWEGIAN SUN,JUNEAU,58.25065,-134.3247667,315,315.0,11.7,0,9218131,C6RN3,16
2008-09-17T21:35:04,311109000,NORWEGIAN SUN,JUNEAU,58.26541667,-134.3564,132,132.0,10.3,5,9218131,C6RN3,16
2008-09-17T21:31:54,311109000,NORWEGIAN SUN,JUNEAU,58.27151667,-134.3690667,132,132.0,10.3,5,9218131,C6RN3,16
2008-09-17T21:30:04,311109000,NORWEGIAN SUN,JUNEAU,58.275,-134.3764167,131,131.5,10.1,5,9218131,C6RN3,16
2008-09-17T21:30:25,311109000,NORWEGIAN SUN,JUNEAU,58.27435,-134.3750167,132,132.0,10.3,5,9218131,C6RN3,16
2008-09-17T21:28:54,311109000,NORWEGIAN SUN,JUNEAU,58.277,-134.3809333,129,129.6,9.1,5,9218131,C6RN3,16
2008-09-17T21:27:55,311109000,NORWEGIAN SUN,JUNEAU,58.27853333,-134.3845333,128,127.2,8.0,5,9218131,C6RN3,16
2008-09-17T21:26:04,311109000,NORWEGIAN SUN,JUNEAU,58.28088333,-134.3898167,129,129.8,6.8,5,9218131,C6RN3,16
2008-09-17T21:26:33,311109000,NORWEGIAN SUN,JUNEAU,58.28028333,-134.3885333,128,128.8,6.9,5,9218131,C6RN3,16
2008-09-17T21:25:33,311109000,NORWEGIAN SUN,JUNEAU,58.28143333,-134.3912333,130,130.8,6.7,5,9218131,C6RN3,16
2008-09-17T21:23:15,311109000,NORWEGIAN SUN,JUNEAU,58.28406667,-134.39675,135,133.8,4.9,5,9218131,C6RN3,16
2008-09-17T21:23:43,311109000,NORWEGIAN SUN,JUNEAU,58.2836,-134.39585,131,132.0,5.5,5,9218131,C6RN3,16
2008-09-17T21:23:54,311109000,NORWEGIAN SUN,JUNEAU,58.28341667,-134.3954333,130,132.0,5.7,5,9218131,C6RN3,16
2008-09-17T21:22:04,311109000,NORWEGIAN SUN,JUNEAU,58.28521667,-134.3983333,156,156.0,3.7,5,9218131,C6RN3,16
2008-09-17T21:22:15,311109000,NORWEGIAN SUN,JUNEAU,58.28503333,-134.3981833,152,153.0,3.8,5,9218131,C6RN3,16
2008-09-17T21:22:24,311109000,NORWEGIAN SUN,JUNEAU,58.28488333,-134.3980167,150,148.5,3.9,5,9218131,C6RN3,16
2008-09-17T21:22:43,311109000,NORWEGIAN SUN,JUNEAU,58.28458333,-134.3976333,145,145.0,4.3,5,9218131,C6RN3,16
2008-09-17T21:22:54,311109000,NORWEGIAN SUN,JUNEAU,58.2844,-134.3973667,141,138.4,4.5,5,9218131,C6RN3,16
2008-09-17T21:21:15,311109000,NORWEGIAN SUN,JUNEAU,58.28591667,-134.3988,169,170.7,3.2,5,9218131,C6RN3,16
2008-09-17T21:21:24,311109000,NORWEGIAN SUN,JUNEAU,58.28578333,-134.3987667,167,167.0,3.3,5,9218131,C6RN3,16
2008-09-17T21:21:33,311109000,NORWEGIAN SUN,JUNEAU,58.28565,-134.3986833,165,161.5,3.3,5,9218131,C6RN3,16
2008-09-17T21:21:43,311109000,NORWEGIAN SUN,JUNEAU,58.2855,-134.3985833,162,162.0,3.4,5,9218131,C6RN3,16
2008-09-17T21:21:54,311109000,NORWEGIAN SUN,JUNEAU,58.28535,-134.3984667,158,157.3,3.5,5,9218131,C6RN3,16
2008-09-17T21:18:19,311109000,NORWEGIAN SUN,JUNEAU,58.28785,-134.3987333,187,187.0,1.1,5,9218131,C6RN3,16
2008-09-17T21:15:17,311109000,NORWEGIAN SUN,JUNEAU,58.2879,-134.39855,189,279.0,0.1,5,9218131,C6RN3,16
2008-09-17T21:14:48,311109000,NORWEGIAN SUN,JUNEAU,58.2886667,-134.398667,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-17T21:09:16,311109000,NORWEGIAN SUN,JUNEAU,58.28786667,-134.3984667,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T21:06:14,311109000,NORWEGIAN SUN,JUNEAU,58.2879,-134.3984833,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T21:03:11,311109000,NORWEGIAN SUN,JUNEAU,58.28786667,-134.3984667,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T21:00:10,311109000,NORWEGIAN SUN,JUNEAU,58.2879,-134.3984833,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T20:57:09,311109000,NORWEGIAN SUN,JUNEAU,58.28788333,-134.3984667,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T20:51:07,311109000,NORWEGIAN SUN,JUNEAU,58.2879,-134.3984667,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T20:45:05,311109000,NORWEGIAN SUN,JUNEAU,58.28788333,-134.3984333,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T20:39:02,311109000,NORWEGIAN SUN,JUNEAU,58.28788333,-134.3984667,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T20:36:01,311109000,NORWEGIAN SUN,JUNEAU,58.28785,-134.39845,188,188.0,0.0,5,9218131,C6RN3,16
2008-09-17T20:32:58,311109000,NORWEGIAN SUN,JUNEAU,58.28785,-134.39845,188,188.0,0.0,5,9218131,C6RN3,16
