bs_ts,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,mmsi,Type of ship
2008-08-15T22:20:26,MILLENNIUM,SEWARD,60.11948333,-149.4272833,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T19:49:30,MILLENNIUM,SEWARD,60.11951667,-149.4272333,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T19:37:25,MILLENNIUM,SEWARD,60.1195,-149.4272333,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T19:25:19,MILLENNIUM,SEWARD,60.11948333,-149.42725,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T19:07:13,MILLENNIUM,SEWARD,60.11948333,-149.42725,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T18:49:06,MILLENNIUM,SEWARD,60.1195,-149.4272333,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T18:43:03,MILLENNIUM,SEWARD,60.11951667,-149.4272167,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T18:36:58,MILLENNIUM,SEWARD,60.11951667,-149.4272333,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T18:24:54,MILLENNIUM,SEWARD,60.11948333,-149.4272333,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T18:12:47,MILLENNIUM,SEWARD,60.11958333,-149.4272833,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T18:06:47,MILLENNIUM,SEWARD,60.11955,-149.42735,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T14:04:57,MILLENNIUM,SEWARD,60.11956667,-149.42725,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T12:16:10,MILLENNIUM,SEWARD,60.11951667,-149.4272167,349,349.0,0.0,5,9189419,9HJF9,249055000,16
2008-08-15T10:59:11,MILLENNIUM,SEWARD,60.11501667,-149.4254667,348,346.2,3.2,0,9189419,9HJF9,249055000,16
2008-08-15T10:57:51,MILLENNIUM,SEWARD,60.11373333,-149.4248667,346,347.3,4.1,0,9189419,9HJF9,249055000,16
2008-08-15T10:57:11,MILLENNIUM,SEWARD,60.11298333,-149.4244667,345,342.3,4.4,0,9189419,9HJF9,249055000,16
2008-08-15T10:53:11,MILLENNIUM,SEWARD,60.10731667,-149.4212167,343,343.9,5.9,0,9189419,9HJF9,249055000,16
2008-08-15T10:43:11,MILLENNIUM,SEWARD,60.08035,-149.4064333,344,344.8,12.9,0,9189419,9HJF9,249055000,16
2008-08-15T10:42:02,MILLENNIUM,SEWARD,60.07641667,-149.4042833,345,345.4,13.0,0,9189419,9HJF9,249055000,16
