bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,Type of ship
2008-09-10T00:00:01,311109000,NORWEGIAN SUN,JUNEAU,55.5563,-132.1839167,320,317.9,19.5,0,9218131.0,C6RN3,16.0
2008-09-09T23:23:43,311109000,NORWEGIAN SUN,JUNEAU,55.45935,-131.8922833,290,288.6,16.8,0,9218131.0,C6RN3,16.0
2008-09-09T23:22:49,311109000,NORWEGIAN SUN,JUNEAU,55.45796667,-131.88535,292,290.9,16.5,0,9218131.0,C6RN3,16.0
2008-09-09T23:22:13,311109000,NORWEGIAN SUN,JUNEAU,55.45693333,-131.8810667,296,294.5,16.3,0,9218131.0,C6RN3,16.0
2008-09-09T23:21:54,311109000,NORWEGIAN SUN,JUNEAU,55.45633333,-131.8787667,297,295.9,16.2,0,9218131.0,C6RN3,16.0
2008-09-09T23:21:49,311109000,NORWEGIAN SUN,JUNEAU,55.45611667,-131.87805,298,296.5,16.2,0,9218131.0,C6RN3,16.0
2008-09-09T23:21:13,311109000,NORWEGIAN SUN,JUNEAU,55.4548,-131.8738333,301,299.9,16.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:20:43,311109000,NORWEGIAN SUN,JUNEAU,55.4537,-131.87065,304,302.2,16.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:20:13,311109000,NORWEGIAN SUN,JUNEAU,55.45245,-131.8673667,307,305.2,16.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:19:43,311109000,NORWEGIAN SUN,JUNEAU,55.45111667,-131.8642167,310,308.5,16.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:19:37,311109000,NORWEGIAN SUN,JUNEAU,55.45076667,-131.8634333,310,307.8,16.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:29:31,311109000,NORWEGIAN SUN,JUNEAU,55.46858333,-131.9406,290,287.8,18.9,0,9218131.0,C6RN3,16.0
2008-09-09T23:29:19,311109000,NORWEGIAN SUN,JUNEAU,55.4683,-131.9388833,290,287.8,18.9,0,9218131.0,C6RN3,16.0
2008-09-09T23:28:36,311109000,NORWEGIAN SUN,JUNEAU,55.46706667,-131.93275,290,287.8,18.6,0,9218131.0,C6RN3,16.0
2008-09-09T23:28:07,311109000,NORWEGIAN SUN,JUNEAU,55.4663,-131.9284333,290,288.7,18.5,0,9218131.0,C6RN3,16.0
2008-09-09T23:27:54,311109000,NORWEGIAN SUN,JUNEAU,55.46601667,-131.92675,290,288.7,18.4,0,9218131.0,C6RN3,16.0
2008-09-09T23:27:43,311109000,NORWEGIAN SUN,JUNEAU,55.46578333,-131.9250667,290,288.7,18.4,0,9218131.0,C6RN3,16.0
2008-09-09T23:25:01,311109000,NORWEGIAN SUN,JUNEAU,55.46133333,-131.9026167,290,287.6,17.4,0,9218131.0,C6RN3,16.0
2008-09-09T23:35:37,311109000,NORWEGIAN SUN,JUNEAU,55.47896667,-131.9963,290,288.8,20.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:32:36,311109000,NORWEGIAN SUN,JUNEAU,55.47368333,-131.9682667,290,287.9,19.8,0,9218131.0,C6RN3,16.0
2008-09-09T23:38:54,311109000,NORWEGIAN SUN,JUNEAU,55.4866,-132.02535,300,298.8,20.0,0,9218131.0,C6RN3,16.0
2008-09-09T23:37:54,311109000,NORWEGIAN SUN,JUNEAU,55.48395,-132.0168,300,298.2,20.0,0,9218131.0,C6RN3,16.0
2008-09-09T23:37:13,311109000,NORWEGIAN SUN,JUNEAU,55.48225,-132.0108833,297,295.8,20.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:36:49,311109000,NORWEGIAN SUN,JUNEAU,55.48126667,-132.00715,295,293.8,20.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:36:19,311109000,NORWEGIAN SUN,JUNEAU,55.48025,-132.0027667,292,290.2,20.1,0,9218131.0,C6RN3,16.0
2008-09-09T23:43:24,311109000,NORWEGIAN SUN,JUNEAU,55.49851667,-132.0637833,300,299.1,19.9,0,9218131.0,C6RN3,16.0
2008-09-09T23:42:49,311109000,NORWEGIAN SUN,JUNEAU,55.49696667,-132.0588667,300,298.8,19.9,0,9218131.0,C6RN3,16.0
2008-09-09T23:42:00,311109000,NORWEGIAN SUN,JUNEAU,55.49485,-132.0518,300,299.1,19.9,0,9218131.0,C6RN3,16.0
2008-09-09T12:32:39,311109000,NORWEGIAN SUN,KETCHIKAN,55.2999,-131.5883667,8,10.4,7.1,0,9218131.0,C6RN3,16.0
2008-09-09T12:32:07,311109000,NORWEGIAN SUN,KETCHIKAN,55.29888333,-131.5887333,12,14.4,7.0,0,9218131.0,C6RN3,16.0
2008-09-09T12:31:39,311109000,NORWEGIAN SUN,KETCHIKAN,55.29798333,-131.5892167,17,19.3,7.2,0,9218131.0,C6RN3,16.0
2008-09-09T12:31:17,311109000,NORWEGIAN SUN,KETCHIKAN,55.29731667,-131.5896667,21,23.3,7.4,0,9218131.0,C6RN3,16.0
2008-09-09T12:31:08,311109000,NORWEGIAN SUN,KETCHIKAN,55.29705,-131.5898667,22,24.2,7.5,0,9218131.0,C6RN3,16.0
2008-09-09T12:30:47,311109000,NORWEGIAN SUN,KETCHIKAN,55.29636667,-131.5904833,26,29.2,7.8,0,9218131.0,C6RN3,16.0
2008-09-09T12:30:39,311109000,NORWEGIAN SUN,KETCHIKAN,55.29615,-131.5906833,27,29.1,7.9,0,9218131.0,C6RN3,16.0
