bs_ts,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-07-08T14:58:15,249055000,58.12696667,-135.4679,0,126.0,0.0,126,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:57:55,249055000,58.12696667,-135.4679167,0,35.0,0.1,125,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:57:34,249055000,58.12696667,-135.4679167,0,35.0,0.1,125,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:57:15,249055000,58.12695,-135.4679167,0,34.0,0.2,124,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:56:55,249055000,58.12693333,-135.4679333,0,35.0,0.2,125,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:56:35,249055000,58.12691667,-135.46795,0,35.0,0.3,125,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:55:54,249055000,58.12685,-135.4680333,0,18.5,0.3,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:55:14,249055000,58.12681667,-135.46805,0,10.4,0.2,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:54:54,249055000,58.1268,-135.46805,0,10.4,0.2,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:54:14,249055000,58.12675,-135.46805,0,10.4,0.2,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:53:54,249055000,58.12673333,-135.4680667,0,18.5,0.3,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:53:35,249055000,58.12671667,-135.4680833,0,10.4,0.2,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:53:14,249055000,58.12668333,-135.4681,0,10.4,0.2,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:52:55,249055000,58.12668333,-135.4681167,0,10.4,0.2,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:52:47,249055000,58.12665,-135.4681333,0,0.0,0.0,0,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:52:35,249055000,58.12665,-135.4681333,0,10.4,0.2,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:52:15,249055000,58.12663333,-135.46815,0,22.9,0.4,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:51:56,249055000,58.1266,-135.4681833,0,18.5,0.3,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:51:34,249055000,58.12658333,-135.4682167,0,37.0,0.3,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:51:14,249055000,58.12656667,-135.4682333,0,36.0,0.3,126,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:50:54,249055000,58.12656667,-135.4682667,0,36.0,0.2,126,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:49:34,249055000,58.12646667,-135.46825,0,338.6,0.4,125,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:49:15,249055000,58.12643333,-135.4682333,0,350.0,0.4,125,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:48:55,249055000,58.12638333,-135.4682,0,351.0,0.4,126,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:48:35,249055000,58.12633333,-135.4681667,0,342.8,0.5,126,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:48:14,249055000,58.1263,-135.4681667,0,352.0,0.6,127,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:47:55,249055000,58.12625,-135.46815,0,353.0,0.6,128,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:46:14,249055000,58.126,-135.4682333,0,11.1,0.5,138,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:45:34,249055000,58.1259,-135.46835,0,52.0,0.6,142,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:44:56,249055000,58.12585,-135.46855,0,70.0,0.8,146,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:44:14,249055000,58.12581667,-135.4688667,0,88.5,0.9,152,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:43:54,249055000,58.12585,-135.469,0,133.4,0.9,154,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:43:34,249055000,58.12595,-135.46905,0,170.6,1.0,154,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:43:15,249055000,58.12603333,-135.4690833,0,182.9,1.2,152,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:42:55,249055000,58.12611667,-135.4690833,0,173.4,1.2,149,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:42:34,249055000,58.12623333,-135.4691167,0,167.9,1.2,148,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:42:07,249055000,58.1193333,-135.4675,15,360.0,102.3,511,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:41:54,249055000,58.12645,-135.4692667,0,150.7,1.2,146,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:41:16,249055000,58.12661667,-135.4695833,0,135.0,1.3,148,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:40:54,249055000,58.12671667,-135.46975,0,138.6,1.5,150,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:40:15,249055000,58.127,-135.4701,0,152.0,1.9,152,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:39:56,249055000,58.12716667,-135.47025,0,154.8,2.0,152,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:39:14,249055000,58.12751667,-135.4705333,0,154.6,2.2,152,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:38:54,249055000,58.12771667,-135.4707,0,150.5,2.3,153,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:38:35,249055000,58.12788333,-135.4709167,0,147.8,2.4,155,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:37:56,249055000,58.12826667,-135.4713667,0,155.6,2.6,160,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:37:36,249055000,58.1285,-135.47155,0,157.7,2.7,162,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:37:14,249055000,58.12875,-135.47175,0,161.0,2.9,164,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:36:56,249055000,58.12896667,-135.4719167,0,161.2,3.0,167,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:36:14,249055000,58.12955,-135.4722833,0,168.6,3.4,177,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:35:55,249055000,58.12988333,-135.4723667,0,176.4,3.8,181,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:35:15,249055000,58.13066667,-135.4722833,0,185.6,4.3,187,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:34:44,249055000,58.13125,-135.4721333,0,189.7,4.6,191,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:33:15,249055000,58.1332,-135.47115,0,199.1,5.0,198,9189419,9HJF9,MILLENNIUM,16,
2008-07-08T14:32:57,249055000,58.13363333,-135.4708667,0,200.1,5.1,199,9189419,9HJF9,MILLENNIUM,16,
