bs_ts,name,mmsi,lat,lon,heading,destination,cog,sog,imo,callsign,Type of ship and cargo
2008-05-24T04:50:53,NORWEGIAN SUN,311109000,54.23206667,-131.0435333,198,VANCOUVER,197.3,18.0,9218131,C6RN3,69
2008-05-24T04:50:41,NORWEGIAN SUN,311109000,54.233,-131.0430167,199,VANCOUVER,198.0,18.0,9218131,C6RN3,69
2008-05-24T04:46:23,NORWEGIAN SUN,311109000,54.25116667,-131.0242833,225,VANCOUVER,223.0,17.9,9218131,C6RN3,69
2008-05-24T04:46:05,NORWEGIAN SUN,311109000,54.25221667,-131.0225167,227,VANCOUVER,225.3,17.8,9218131,C6RN3,69
2008-05-24T04:43:05,NORWEGIAN SUN,311109000,54.26145,-131.0025,238,VANCOUVER,236.0,17.7,9218131,C6RN3,69
2008-05-24T04:37:30,NORWEGIAN SUN,311109000,54.27935,-130.9673833,223,VANCOUVER,222.0,17.2,9218131,C6RN3,69
2008-05-24T04:31:17,NORWEGIAN SUN,311109000,54.30203333,-130.9470833,191,VANCOUVER,194.2,12.3,9218131,C6RN3,69
2008-05-24T04:29:58,NORWEGIAN SUN,311109000,54.30635,-130.9457,184,VANCOUVER,187.5,11.3,9218131,C6RN3,69
2008-05-24T04:21:44,NORWEGIAN SUN,311109000,54.32661667,-130.97045,115,VANCOUVER,115.8,13.5,9218131,C6RN3,69
2008-05-24T04:21:20,NORWEGIAN SUN,311109000,54.32725,-130.9728,113,VANCOUVER,111.5,13.6,9218131,C6RN3,69
2008-05-24T04:21:14,NORWEGIAN SUN,311109000,54.3274,-130.9734,112,VANCOUVER,112.0,13.7,9218131,C6RN3,69
2008-05-24T04:21:01,NORWEGIAN SUN,311109000,54.32766667,-130.9746,111,VANCOUVER,110.1,13.8,9218131,C6RN3,69
2008-05-24T04:04:14,NORWEGIAN SUN,311109000,54.34536667,-131.1028,102,VANCOUVER,103.0,17.0,9218131,C6RN3,69
2008-05-24T03:23:20,NORWEGIAN SUN,311109000,54.3902,-131.4171,103,VANCOUVER,104.6,16.9,9218131,C6RN3,69
